motif,role_or_action,n_documents,n_seed_document_units,mean_prevalence,ci_lower,ci_upper,n_positive_documents
payoff_or_marginal_return,all,7020,9,0.5653846153846155,0.5217948717948718,0.6121082621082621,3969
payoff_or_marginal_return,developed,3240,9,0.721604938271605,0.6645061728395062,0.7814814814814814,2338
payoff_or_marginal_return,developing,3780,9,0.43148148148148147,0.3745965608465608,0.49259259259259264,1631
payoff_or_marginal_return,positive_action,6501,9,0.5492984287184833,0.5031479199522526,0.599168872147831,3578
payoff_or_marginal_return,zero_action,519,9,0.7631330324110488,0.7009742709138181,0.8219902544351074,391
peer_matching,all,7020,9,0.046011396011396005,0.03803418803418804,0.05384615384615385,323
peer_matching,developed,3240,9,0.06882716049382714,0.05679012345679012,0.079320987654321,223
peer_matching,developing,3780,9,0.026455026455026454,0.0190410052910053,0.03597883597883598,100
peer_matching,positive_action,6501,9,0.025058358643731998,0.016959215171731504,0.03420555424376813,164
peer_matching,zero_action,519,9,0.29093657651003535,0.22727483201747933,0.343783250985774,159
reciprocity_or_future,all,7020,9,0.01695156695156695,0.010541310541310541,0.0245014245014245,119
reciprocity_or_future,developed,3240,9,0.024691358024691357,0.013580246913580249,0.03672839506172839,80
reciprocity_or_future,developing,3780,9,0.010317460317460317,0.005291005291005292,0.015608465608465608,39
reciprocity_or_future,positive_action,6501,9,0.017435853762141157,0.010515627481035225,0.025834171075518664,114
reciprocity_or_future,zero_action,519,9,0.01012463372139067,0.0,0.02143719806763285,5
fairness_or_equity,all,7020,9,0.00014245014245014244,0.0,0.00042735042735042735,1
fairness_or_equity,developed,3240,9,0.0,0.0,0.0,0
fairness_or_equity,developing,3780,9,0.00026455026455026457,0.0,0.0007936507936507938,1
fairness_or_equity,positive_action,6501,9,0.00015368065160596282,0.0,0.0004610419548178884,1
fairness_or_equity,zero_action,519,9,0.0,0.0,0.0,0
climate_or_ldf,all,7020,9,0.003561253561253561,0.0024216524216524216,0.005413105413105413,25
climate_or_ldf,developed,3240,9,0.002777777777777778,0.0015432098765432098,0.004320987654320988,9
climate_or_ldf,developing,3780,9,0.004232804232804233,0.0018518518518518521,0.007671957671957673,16
climate_or_ldf,positive_action,6501,9,0.0029257117863381297,0.0017161012283561316,0.004510627660694199,19
climate_or_ldf,zero_action,519,9,0.011747014595311807,0.0031746031746031746,0.02158926728586171,6
enforcement_or_sanction,all,7020,9,0.0032763532763532763,0.001994301994301994,0.004558404558404558,23
enforcement_or_sanction,developed,3240,9,0.00617283950617284,0.003703703703703704,0.008950617283950616,20
enforcement_or_sanction,developing,3780,9,0.0007936507936507938,0.0,0.0018518518518518521,3
enforcement_or_sanction,positive_action,6501,9,0.003431563872217768,0.002039765403256221,0.004844465609471628,22
enforcement_or_sanction,zero_action,519,9,0.0024154589371980675,0.0,0.007246376811594203,1
constraint_or_liquidity,all,7020,9,0.02792022792022792,0.0198005698005698,0.03575498575498576,196
constraint_or_liquidity,developed,3240,9,0.03209876543209876,0.020061728395061727,0.044444444444444446,104
constraint_or_liquidity,developing,3780,9,0.02433862433862434,0.015608465608465608,0.033068783068783074,92
constraint_or_liquidity,positive_action,6501,9,0.013974151691377303,0.008997243235376694,0.018859893803749594,91
constraint_or_liquidity,zero_action,519,9,0.18884870910137697,0.11742036250045403,0.25929886907839855,105
institution_or_governance,all,7020,9,0.019088319088319088,0.011680911680911682,0.02735042735042735,134
institution_or_governance,developed,3240,9,0.015123456790123455,0.007098765432098765,0.02469135802469136,49
institution_or_governance,developing,3780,9,0.022486772486772486,0.014021164021164021,0.032275132275132276,85
institution_or_governance,positive_action,6501,9,0.02018763087090117,0.012467280345367976,0.028635703179516952,132
institution_or_governance,zero_action,519,9,0.003685428849902534,0.0,0.008893762183235867,2
