contrast,role,n_runs,mean_before,mean_after,mean_change,ci_lower,ci_upper,exact_sign_flip_p,n_positive_change,n_zero_change,n_negative_change,cliffs_delta_paired,cohen_dz_paired
late minus early: positive-contribution share,all,9,0.6431623931623931,0.9401709401709402,0.29700854700854706,0.23504273504273504,0.35790598290598286,0.00390625,9,0,0,1.0,3.005712798619746
late minus early: eligible positive-contribution share,all,9,0.6588544613310054,1.0,0.3411455386689946,0.2840282690289625,0.40089784009952073,0.00390625,9,0,0,1.0,3.5729525148040584
late minus early: positive-contribution share (excluding cold start),all,9,0.7948717948717948,0.9401709401709402,0.14529914529914534,0.07122507122507121,0.22079772079772086,0.00390625,9,0,0,1.0,1.1767946984093076
late minus early: pre-decision intensity,all,9,0.16583149534472152,0.10468248151879846,-0.061149013825923096,-0.09480424740833046,-0.02844998709170564,0.01171875,1,0,8,-0.7777777777777778,-1.1434230896240904
late minus early: pre-decision intensity (excluding cold start),all,9,0.18062902515929616,0.10363820924092654,-0.0769908159183696,-0.11113802382541581,-0.04289155689144378,0.00390625,0,0,9,-1.0,-1.3804721590623537
late minus early: zero-contribution share,all,9,0.3568376068376068,0.05982905982905984,-0.297008547008547,-0.3568376068376068,-0.2361111111111111,0.00390625,0,0,9,-1.0,-3.0057127986197467
late minus early: wealth Gini,all,9,0.6648476714203092,0.3732291523369187,-0.2916185190833906,-0.36396278364282797,-0.21320910928763656,0.00390625,0,0,9,-1.0,-2.358538420964674
late minus early: positive-contribution share,developed/SI,9,0.46990740740740744,0.8703703703703703,0.400462962962963,0.30324074074074076,0.4930555555555556,0.00390625,9,0,0,1.0,2.5873543447260015
late minus early: pre-decision intensity,developed/SI,9,0.10299925023841,0.13710143827059987,0.034102188032189874,-0.016272651641577134,0.07881240139269124,0.22265625,6,0,3,0.33333333333333326,0.43668107975435977
late minus early: positive-contribution share,developing/SFI,9,0.7916666666666665,1.0,0.20833333333333334,0.16865079365079366,0.25396825396825395,0.00390625,9,0,0,1.0,2.98752719843424
late minus early: pre-decision intensity,developing/SFI,9,0.21594128108556684,0.08045526603854386,-0.13548601504702298,-0.1806093077870554,-0.0833723135455385,0.0078125,1,0,8,-0.7777777777777778,-1.7139447319831738
shock 5: post minus pre positive,all,9,0.7948717948717948,0.9943019943019943,0.1994301994301994,0.12962962962962965,0.27635327635327633,0.00390625,9,0,0,1.0,1.6626949396771953
shock 5: post minus pre intensity,all,9,0.18062902515929619,0.17449423190434196,-0.006134793254954196,-0.03312140978267665,0.020880334585083767,0.68359375,5,0,4,0.11111111111111116,-0.14023302935749557
shock 5: post minus pre zero,all,9,0.20512820512820512,0.005698005698005697,-0.1994301994301994,-0.27492877492877493,-0.1282051282051282,0.00390625,0,0,9,-1.0,-1.6626949396771955
shock 10: post minus pre positive,all,9,0.9985754985754985,0.9957264957264957,-0.0028490028490028513,-0.012820512820512811,0.004273504273504258,1.0,1,7,1,0.0,-0.20333142711013993
shock 10: post minus pre intensity,all,9,0.15911104363813836,0.14464055523024155,-0.014470488407896782,-0.027020693740715786,-0.002092143070298554,0.078125,3,0,6,-0.33333333333333337,-0.713862032158333
shock 10: post minus pre zero,all,9,0.0014245014245014244,0.004273504273504274,0.002849002849002849,-0.004273504273504274,0.012820512820512822,1.0,1,7,1,0.0,0.20333142711013957
