role,metric,n_agent_rounds,unit,n,mean,median,sd,min,max,ci_lower,ci_upper,bootstrap_n
all,all:stage1_positive_payoff_share,7020,run,9,0.9276353276353277,0.9320512820512821,0.02875420610051748,0.8743589743589744,0.9551282051282052,0.908974358974359,0.9438746438746439,20000
all,all:positive_total_payoff_share,7020,run,9,0.7874643874643874,0.7576923076923077,0.06720009035750825,0.7205128205128205,0.9051282051282051,0.7488603988603989,0.8304843304843305,20000
all,all:peer_positive_zero_share,7020,run,9,0.07393162393162393,0.07307692307692308,0.027203968171696086,0.03205128205128205,0.13076923076923078,0.05811965811965812,0.09131054131054131,20000
all,all:mean_stage1_net,7020,run,9,207689.10094017096,176133.54153846155,80664.65341837263,129779.37692307694,389255.9215384616,164396.0940683761,261611.61101068376,20000
developed,developed:stage1_positive_payoff_share,3240,run,9,0.9141975308641975,0.925,0.02625861280090228,0.8638888888888889,0.9361111111111111,0.8962962962962963,0.9287037037037036,20000
developed,developed:positive_total_payoff_share,3240,run,9,0.6104938271604939,0.6222222222222222,0.1146298540056441,0.4166666666666667,0.8083333333333333,0.5401234567901235,0.6817901234567901,20000
developed,developed:peer_positive_zero_share,3240,run,9,0.09074074074074073,0.1,0.04431404481539949,0.013888888888888888,0.17777777777777778,0.06419753086419752,0.11790123456790123,20000
developed,developed:mean_stage1_net,3240,run,9,364581.20759259263,299679.39166666666,183388.6151664363,182211.5266666667,768094.7416666667,265450.36646759266,490227.5614999998,20000
developing,developing:stage1_positive_payoff_share,3780,run,9,0.9391534391534392,0.9738095238095238,0.06152713474068035,0.8214285714285714,0.9880952380952381,0.8981481481481483,0.974074074074074,20000
developing,developing:positive_total_payoff_share,3780,run,9,0.9391534391534392,0.9738095238095238,0.06152713474068035,0.8214285714285714,0.9880952380952381,0.8981415343915343,0.9730158730158729,20000
developing,developing:peer_positive_zero_share,3780,run,9,0.027777777777777776,0.02619047619047619,0.009297916280841255,0.01904761904761905,0.04523809523809524,0.022486772486772486,0.03386243386243386,20000
developing,developing:mean_stage1_net,3780,run,9,73210.15238095241,84837.5342857143,26725.882814570534,19740.951428571436,104153.97285714286,55592.63650793652,88220.40317460318,20000
