field,stratum,n_documents,n_unique_texts,unique_text_share,most_common_text_count,most_common_text_share,mean_words,sd_words,median_words,p90_words,mean_characters,mean_words_run_level,mean_words_ci_lower,mean_words_ci_upper
contribution_reasoning,all,7020,2895,0.41239316239316237,318,0.0452991452991453,8.445014245014246,2.493809845974806,8.0,12.0,72.43290598290598,8.445014245014244,8.252564102564103,8.635334757834757
contribution_reasoning,developed,3240,1468,0.45308641975308644,136,0.04197530864197531,8.028395061728395,2.288769287542219,7.0,11.0,69.28796296296296,8.028395061728396,7.832716049382715,8.21111111111111
contribution_reasoning,developing,3780,1716,0.45396825396825397,182,0.04814814814814815,8.802116402116402,2.6047762361127806,8.0,13.0,75.12857142857143,8.802116402116402,8.573280423280425,9.03888888888889
contribution_reasoning,positive_action,6501,2620,0.40301492078141826,318,0.04891555145362252,8.386094447008153,2.4528445947201223,8.0,12.0,72.34779264728503,8.386179529223753,8.18761784165632,8.589532714918667
contribution_reasoning,zero_action,519,275,0.5298651252408478,28,0.05394990366088632,9.183044315992293,2.8608699401815865,9.0,13.0,73.4990366088632,9.203818553897824,9.00799173089017,9.402091665277421
contribution_reasoning,early_window,936,515,0.5502136752136753,55,0.05876068376068376,8.70405982905983,2.7273666703810453,8.0,12.0,72.88354700854701,8.704059829059828,8.495726495726494,8.93482905982906
contribution_reasoning,late_window,936,557,0.5950854700854701,39,0.041666666666666664,8.353632478632479,2.437221976371825,8.0,12.0,72.09722222222223,8.353632478632479,8.075827991452991,8.644230769230768
deanonymized_punishment_reasoning,all,3240,1298,0.4006172839506173,461,0.14228395061728394,11.692283950617284,3.4262938706121453,11.0,17.0,90.02283950617284,11.692283950617284,11.317893518518517,12.07469135802469
institution_reasoning,all,7020,2,0.0002849002849002849,3780,0.5384615384615384,9.0,0.0,9.0,9.0,72.3076923076923,9.0,9.0,9.0
punishment_reasoning,all,3240,1298,0.4006172839506173,461,0.14228395061728394,11.694753086419754,3.4280461943880227,11.0,17.0,90.01543209876543,11.694753086419754,11.318819444444443,12.084575617283951
