metric,label,unit,n,mean,median,sd,min,max,ci_lower,ci_upper,bootstrap_n
Mean round wealth Gini,Mean round wealth Gini,run,9,0.43663629472025717,0.4110589300108031,0.09246573698531399,0.31861443447392274,0.609908700424339,0.3833603550562534,0.49614710219464014,20000
Opening-window wealth Gini,Opening-window wealth Gini,run,9,0.6648476714203092,0.6516410554931396,0.04094215021989417,0.6162118997671153,0.7308118817934102,0.6407251658241006,0.6911357197302935,20000
Closing-window wealth Gini,Closing-window wealth Gini,run,9,0.3732291523369187,0.34641274242291537,0.1325601786769605,0.22597299418630254,0.6028408314522953,0.2955744529640405,0.45747756809005474,20000
Terminal wealth Gini,Terminal wealth Gini,run,9,0.3735477577089515,0.3461541248440454,0.12957608295996584,0.2270072479671732,0.597158439366001,0.29869229351525006,0.4572575500912166,20000
Developed mean wealth / initial developed mean,Developed mean wealth / initial developed mean,run,9,1.35463300739307,0.959169988935636,1.1662517666124783,0.5180872745506305,4.266132224085194,0.7913687101402404,2.1675439865376434,20000
Developing mean wealth / initial developing mean,Developing mean wealth / initial developing mean,run,9,6.198848761757453,7.027085711959785,1.9037272410171233,2.390152333852307,8.403026426921473,4.936586149525293,7.264515445666684,20000
Terminal developed/developing mean-wealth ratio,Terminal developed/developing mean-wealth ratio,run,9,2.7752547460515418,1.6899225050687077,2.5122195317894658,0.6743215567845523,8.176374322427627,1.4102047670731042,4.467464037192949,20000
Initial developed/developing mean-wealth ratio,Initial developed/developing mean-wealth ratio,run,9,10.696500267401143,10.696500267401143,0.0,10.696500267401143,10.696500267401143,10.696500267401143,10.696500267401143,20000
Change in developed/developing mean-wealth ratio,Change in developed/developing mean-wealth ratio,run,9,-7.921245521349601,-9.006577762332435,2.5122195317894658,-10.022178710616592,-2.5201259449735165,-9.274810334172422,-6.279025353604136,20000
Terminal top-10% wealth share,Terminal top-10% wealth share,run,9,0.2716968409841099,0.25061500927270897,0.07882096138741279,0.18932480315920489,0.4426390920257427,0.22849345771870105,0.3236423692885993,20000
Terminal wealth HHI,Terminal wealth HHI,run,9,0.06034293437399856,0.05320441611577956,0.01779482167403717,0.04474164622238391,0.09883431004037435,0.050597022239522914,0.07201856648048667,20000
