window,metric,role,early_rounds,late_rounds,n,mean_before,mean_after,mean_change,ci_lower,ci_upper,n_positive,n_negative
opening_1_4_vs_closing_27_30,positive_share,all,"[1, 2, 3, 4]","[27, 28, 29, 30]",9,0.6431623931623931,0.9401709401709402,0.29700854700854706,0.23717948717948723,0.3579059829059829,9,0
opening_1_4_vs_closing_27_30,mean_intensity,all,"[1, 2, 3, 4]","[27, 28, 29, 30]",9,0.16583149534472152,0.10468248151879846,-0.061149013825923096,-0.09444382671060096,-0.028676829951417678,1,8
opening_1_4_vs_closing_27_30,zero_share,all,"[1, 2, 3, 4]","[27, 28, 29, 30]",9,0.3568376068376068,0.05982905982905984,-0.297008547008547,-0.3579059829059829,-0.23717948717948723,0,9
opening_1_4_vs_closing_27_30,positive_share,developed,"[1, 2, 3, 4]","[27, 28, 29, 30]",9,0.46990740740740744,0.8703703703703703,0.400462962962963,0.30324074074074076,0.4930555555555556,9,0
opening_1_4_vs_closing_27_30,mean_intensity,developed,"[1, 2, 3, 4]","[27, 28, 29, 30]",9,0.10299925023841,0.13710143827059987,0.034102188032189874,-0.01629704741355114,0.07969338731284453,6,3
opening_1_4_vs_closing_27_30,positive_share,developing,"[1, 2, 3, 4]","[27, 28, 29, 30]",9,0.7916666666666665,1.0,0.20833333333333334,0.1686507936507937,0.25396825396825395,9,0
opening_1_4_vs_closing_27_30,mean_intensity,developing,"[1, 2, 3, 4]","[27, 28, 29, 30]",9,0.21594128108556684,0.08045526603854386,-0.13548601504702298,-0.18117993875450744,-0.08253317910863256,1,8
no_cold_start_2_4_vs_28_30,positive_share,all,"[2, 3, 4]","[28, 29, 30]",9,0.7948717948717948,0.9401709401709402,0.14529914529914534,0.07122507122507127,0.22222222222222227,9,0
no_cold_start_2_4_vs_28_30,mean_intensity,all,"[2, 3, 4]","[28, 29, 30]",9,0.18062902515929616,0.10363820924092654,-0.0769908159183696,-0.11134178109293798,-0.04294263740809191,0,9
no_cold_start_2_4_vs_28_30,zero_share,all,"[2, 3, 4]","[28, 29, 30]",9,0.20512820512820512,0.05982905982905984,-0.1452991452991453,-0.2222222222222222,-0.07122507122507121,0,9
no_cold_start_2_4_vs_28_30,positive_share,developed,"[2, 3, 4]","[28, 29, 30]",9,0.6265432098765432,0.8703703703703703,0.24382716049382713,0.1234567901234568,0.36419753086419754,8,0
no_cold_start_2_4_vs_28_30,mean_intensity,developed,"[2, 3, 4]","[28, 29, 30]",9,0.13947191338053033,0.1378132653587361,-0.0016586480217942456,-0.06325457174243398,0.0549964725745225,6,3
no_cold_start_2_4_vs_28_30,positive_share,developing,"[2, 3, 4]","[28, 29, 30]",9,0.9391534391534392,1.0,0.060846560846560864,0.01587301587301588,0.11640211640211644,5,0
no_cold_start_2_4_vs_28_30,mean_intensity,developing,"[2, 3, 4]","[28, 29, 30]",9,0.21192400526453437,0.07811371197339902,-0.1338102932911354,-0.18747234695200485,-0.07563910981787092,1,8
opening_1_3_vs_closing_28_30,positive_share,all,"[1, 2, 3]","[28, 29, 30]",9,0.5398860398860399,0.9401709401709402,0.40028490028490027,0.3319088319088319,0.47150997150997154,9,0
opening_1_3_vs_closing_28_30,mean_intensity,all,"[1, 2, 3]","[28, 29, 30]",9,0.1554439457669901,0.10363820924092654,-0.051805736526063594,-0.08490331109783672,-0.019349059409272777,2,7
opening_1_3_vs_closing_28_30,zero_share,all,"[1, 2, 3]","[28, 29, 30]",9,0.46011396011396016,0.05982905982905984,-0.40028490028490027,-0.47150997150997154,-0.3319088319088319,0,9
opening_1_3_vs_closing_28_30,positive_share,developed,"[1, 2, 3]","[28, 29, 30]",9,0.32716049382716045,0.8703703703703703,0.54320987654321,0.4413580246913581,0.6419753086419753,9,0
opening_1_3_vs_closing_28_30,mean_intensity,developed,"[1, 2, 3]","[28, 29, 30]",9,0.073787707272428,0.1378132653587361,0.06402555808630811,0.02023190262268565,0.10379840012968335,7,2
opening_1_3_vs_closing_28_30,positive_share,developing,"[1, 2, 3]","[28, 29, 30]",9,0.7222222222222222,1.0,0.2777777777777778,0.22486772486772486,0.3386243386243386,9,0
opening_1_3_vs_closing_28_30,mean_intensity,developing,"[1, 2, 3]","[28, 29, 30]",9,0.22066983086817482,0.07811371197339902,-0.14255611889477582,-0.18829686922590297,-0.08885838283968939,1,8
broader_1_5_vs_26_30,positive_share,all,"[1, 2, 3, 4, 5]","[26, 27, 28, 29, 30]",9,0.711965811965812,0.941025641025641,0.22905982905982908,0.17863247863247864,0.2803418803418804,9,0
broader_1_5_vs_26_30,mean_intensity,all,"[1, 2, 3, 4, 5]","[26, 27, 28, 29, 30]",9,0.17467110823074827,0.10642683306306294,-0.06824427516768534,-0.09720577865786441,-0.03956917116052801,0,9
broader_1_5_vs_26_30,zero_share,all,"[1, 2, 3, 4, 5]","[26, 27, 28, 29, 30]",9,0.28803418803418807,0.05897435897435897,-0.22905982905982908,-0.2803418803418804,-0.1786324786324786,0,9
broader_1_5_vs_26_30,positive_share,developed,"[1, 2, 3, 4, 5]","[26, 27, 28, 29, 30]",9,0.5703703703703704,0.8722222222222222,0.30185185185185187,0.2148148148148148,0.38333333333333336,9,0
broader_1_5_vs_26_30,mean_intensity,developed,"[1, 2, 3, 4, 5]","[26, 27, 28, 29, 30]",9,0.1262398870334791,0.14091845942166348,0.014678572388184319,-0.03480216155832689,0.060843884668235225,6,3
broader_1_5_vs_26_30,positive_share,developing,"[1, 2, 3, 4, 5]","[26, 27, 28, 29, 30]",9,0.8333333333333334,1.0,0.16666666666666666,0.13492063492063494,0.20317460317460317,9,0
