agent_id,agent_group,institution_choice,mean_prop,median_prop,std_prop,zero_share,baseline_prop_r1_4,late_prop_r20_30,mean_reputation,min_reputation,n_bad_rep_rounds,n_gossip_target_rounds,mean_delta_prop_after_gossip,mean_delta_prop_after_bad_rep,top_motifs,shock_deltas,adaptation_flag
0,developing,SFI,0.2356179058382602,0.0017703896486402498,0.3728130737625986,0.43333333333333335,0.0029491682108122,0.0135395620438251,3.558666666666667,1.0,15,8,-6.288596948787403e-06,0.01610803019234505,opportunistic|conformity|named_agents|future_rounds,R5 Δ=0.136; R10 Δ=0.199,0
1,developing,SFI,0.0022131003450842363,0.0005805446028779,0.005370968080610133,0.03333333333333333,0.010694686325041674,0.0003470305301749818,4.766666666666667,1.0,2,2,-0.0005346192219975501,-0.0005346192219975501,conformity|opportunistic|named_agents,R5 Δ=-0.004; R10 Δ=-0.001,0
2,developed,SI,0.16299487498855933,0.0899627094115591,0.15906315326879145,0.03333333333333333,0.09812066438375952,0.0462995469439927,5.272000000000001,1.0,2,3,0.011843822272656937,0.0725140609094681,opportunistic|future_rounds|fairness|reputation_management,R5 Δ=-0.062; R10 Δ=0.011,0
3,developed,SI,0.4897002390583403,0.25426736926373417,0.7519225704326882,0.13333333333333333,0.597354693232487,0.48133079015749425,4.666666666666668,1.0,5,7,-0.2141712029243103,-0.19899632967079492,opportunistic|future_rounds|named_agents|fairness,R5 Δ=-1.123; R10 Δ=-0.636,0
4,developing,SFI,0.4226693865582444,0.26332083220143976,0.6667906269013109,0.23333333333333334,0.08133688196654583,0.6877511016241509,4.7,1.0,7,7,0.05787006728608648,0.05787006728608648,named_agents|opportunistic|future_rounds|conformity,R5 Δ=-0.149; R10 Δ=0.211,1
5,developed,SI,0.19694215273431245,0.12324936423682155,0.18946290194968043,0.1,0.37224108833348796,0.07084646557426445,5.110666666666666,1.0,3,3,0.15122423806547186,0.15122423806547186,opportunistic|fairness|future_rounds|named_agents,R5 Δ=-0.460; R10 Δ=0.482,1
6,developed,SI,0.3341562843136781,0.23239435216009974,0.44385559614035514,0.06666666666666667,0.6739553363449505,0.13152087431516765,5.164000000000001,1.0,2,3,-0.059043804089898455,-0.06661402384171994,opportunistic|future_rounds|fairness|named_agents,R5 Δ=-1.161; R10 Δ=0.124,1
7,developing,SFI,0.44047943727707417,0.19219313512114283,0.9544142022527444,0.3,0.022935832515793703,0.44831865282202626,4.287999999999999,1.0,9,8,0.12540541459608043,0.5570513466234863,opportunistic|conformity|named_agents|future_rounds,R5 Δ=-0.039; R10 Δ=-1.365,1
8,developing,SFI,0.2490378069073565,0.016146869312957703,0.8817350468566753,0.16666666666666666,0.18148896651555838,0.013838777812156861,4.818666666666667,1.0,5,5,0.4079739245197273,0.4079739245197273,conformity|opportunistic|named_agents,R5 Δ=2.655; R10 Δ=-0.040,1
9,developing,SFI,0.529378282055166,0.21599641463288893,1.4830421263611024,0.1,2.4267477989612187,0.16511971850103835,5.324,1.0,3,3,-2.5478341234114006,-2.7427092964287034,opportunistic|named_agents|conformity|future_rounds,R5 Δ=-0.385; R10 Δ=0.189,1
10,developed,SI,0.2033133985426533,0.125221026211075,0.21125893379216304,0.1,0.0086430475998036,0.1071780555194075,4.944,1.0,4,3,0.010970480797233407,0.005748510599326207,opportunistic|named_agents|fairness|future_rounds,R5 Δ=0.392; R10 Δ=-0.126,0
11,developing,SFI,0.02287818399839425,0.0153845226626988,0.017211915629771927,0.03333333333333333,0.0321752562748358,0.011051227207186636,5.344,1.0,1,1,0.0006684910741881073,0.060714467852781694,named_agents|conformity|future_rounds|opportunistic,R5 Δ=-0.017; R10 Δ=-0.011,0
12,developing,SFI,0.462223232353866,0.044713408825912654,1.0807239253402445,0.16666666666666666,0.025632774355901798,0.6713678528173369,5.161333333333333,1.0,5,4,0.12031150231879184,0.10590624953837055,named_agents|conformity|opportunistic|future_rounds,R5 Δ=-0.012; R10 Δ=-0.008,1
13,developed,SI,0.1296395272549077,0.0531069257978772,0.16782248181141257,0.0,0.21992338123107985,0.04738735309963882,5.184,1.0,1,0,,-0.0043349941524084,opportunistic|named_agents|conformity|future_rounds,R5 Δ=0.018; R10 Δ=0.329,1
14,developed,SI,0.22078480419934704,0.1579831688668159,0.22353220545378988,0.13333333333333333,0.3162726973737927,0.0671288744585394,4.362666666666668,1.0,8,8,-0.0269697028912599,-0.12590525373359351,opportunistic|fairness|named_agents|future_rounds,R5 Δ=-0.074; R10 Δ=0.131,1
15,developing,SFI,0.5786948218385526,0.1927376656716423,0.9817622311080056,0.2,0.14615878710790375,0.8610141564901265,4.549333333333333,1.0,7,6,-0.8672817804520717,-0.6954527160782203,named_agents|conformity|opportunistic|future_rounds,R5 Δ=-0.038; R10 Δ=0.206,1
