run,source_file,round_number,agent_id,agent_group,institution_choice,contribution,wealth_end_of_round,contribution_capacity,stage1_cap_from_end_wealth,prop_of_wealth,prop_of_capacity,prop_of_stage1_cap,note
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,0,developing,SFI,0.0,45768.57142857143,0.1,45768.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,1,developing,SFI,1000.0,34288.57142857143,0.1,34288.0,0.02916423631364053,10000.0,0.02916472235184321,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,30000.0,1845699.3333333333,1.0,1845699.0,0.016254001644904967,30000.0,0.01625400458037849,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,0.0,1875073.3333333333,1.0,1875073.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,4,developing,SFI,100.0,3608.5714285714284,0.1,3608.0,0.027711797307996833,1000.0,0.02771618625277162,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,5,developed,SI,0.0,5953827.333333333,1.0,5953827.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,6,developed,SI,200000.0,3450683.333333333,1.0,3450683.0,0.057959534584937286,200000.0,0.05795954018378391,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,7,developing,SFI,0.0,26998.571428571428,0.1,26998.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,8,developing,SFI,0.0,365088.5714285714,0.1,365088.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,9,developing,SFI,0.0,381648.5714285714,0.1,381648.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,10,developed,SI,0.0,2200178.333333333,1.0,2200178.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,11,developing,SFI,0.0,409378.5714285714,0.1,409378.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,12,developing,SFI,0.0,534288.5714285715,0.1,534288.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,13,developed,SI,22500.0,29998368.333333332,1.0,29998368.0,0.0007500407938854008,22500.0,0.0007500408022196408,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,14,developed,SI,880000.0,2153976.333333333,1.0,2153976.0,0.4085467358121701,880000.0,0.4085467990358296,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,15,developing,SFI,1000.0,7188.571428571428,0.1,7188.0,0.13910969793322736,10000.0,0.13912075681691707,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,16,developed,SI,1200000.0,2310919.333333333,1.0,2310919.0,0.5192738589750284,1200000.0,0.5192739338765228,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,17,developing,SFI,0.0,379288.5714285714,0.1,379288.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,18,developing,SFI,11800.0,108588.57142857143,0.1,108588.0,0.10866705257064674,118000.0,0.10866762441522083,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,19,developing,SFI,0.0,165288.57142857142,0.1,165288.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,20,developing,SFI,0.0,1111588.5714285714,0.1,1111588.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,21,developed,SI,2000000.0,2962962.333333333,1.0,2962962.0,0.6750001434375306,2000000.0,0.6750002193750713,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,22,developed,SI,1210000.0,1273171.3333333333,1.0,1273171.0,0.9503826926671823,1210000.0,0.9503829414901848,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,23,developed,SI,4000000.0,1296995.333333333,1.0,1296995.0,3.084051189081637,4000000.0,3.0840519816961516,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,24,developing,SFI,0.0,2331588.5714285714,0.1,2331588.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,25,developed,SI,0.0,4427099.333333333,1.0,4427099.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,0,developing,SFI,1069.0,90618.77142857143,0.1,90618.0,0.011796672843248812,10690.0,0.01179677326800415,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,1,developing,SFI,0.0,80207.77142857143,0.1,80207.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,2,developed,SI,500000.0,4662554.333333333,1.0,4662554.0,0.10723735623313202,500000.0,0.10723736389969961,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,3,developed,SI,100000.0,5083896.333333333,1.0,5083896.0,0.019669952619673796,100000.0,0.019669953909364,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,4,developing,SFI,0.0,49527.77142857143,0.1,49527.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,5,developed,SI,2000000.0,7268788.333333333,1.0,7268788.0,0.2751490218566919,2000000.0,0.2751490344745231,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,6,developed,SI,300000.0,6467445.333333333,1.0,6467445.0,0.04638616710895018,300000.0,0.04638616949970197,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,7,developing,SFI,1000.0,71917.77142857143,0.1,71917.0,0.013904769017949865,10000.0,0.013904918169556572,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,8,developing,SFI,1069.0,409938.77142857143,0.1,409938.0,0.0026077065027899286,10690.0,0.0026077114100181,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,9,developing,SFI,381648.0,45919.77142857143,0.1,45919.0,8.311191195575885,3816480.0,8.311330821664235,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,10,developed,SI,120000.0,5394520.333333333,1.0,5394520.0,0.022244795196804956,120000.0,0.022244796571335355,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,11,developing,SFI,1000.0,454297.77142857143,0.1,454297.0,0.002201199439863923,10000.0,0.002201203177656907,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,12,developing,SFI,1069.0,579138.7714285714,0.1,579138.0,0.0018458442997402497,10690.0,0.0018458467584582603,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,13,developed,SI,15000000.0,18310797.333333332,1.0,18310797.0,0.8191887948371155,15000000.0,0.8191888097497886,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,14,developed,SI,880000.0,4590916.333333333,1.0,4590916.0,0.1916828659260399,880000.0,0.19168287984358676,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,15,developing,SFI,0.0,53107.77142857143,0.1,53107.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,16,developed,SI,1200000.0,4427824.333333333,1.0,4427824.0,0.271013461615046,1200000.0,0.2710134820173521,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,17,developing,SFI,1000.0,424207.77142857143,0.1,424207.0,0.0023573354081477056,10000.0,0.00235733969500739,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,18,developing,SFI,11800.0,142707.77142857143,0.1,142707.0,0.08268645695939675,118000.0,0.08268690393603677,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,19,developing,SFI,1069.0,210138.77142857143,0.1,210138.0,0.005087114542131819,10690.0,0.005087133217219161,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx)
