round_number,gini_wealth,cooperation_rate,mean_wealth_developed,mean_wealth_developing,wealth_gap_dev_minus_dvg,gini_contribution_abs,gini_prop_of_wealth,shock_round,democracy_round
1,0.7094520458881513,0.2314187981106498,4979079.5,421757.14285714284,4557322.357142857,0.8569609411976831,0.8605510162348735,0,0
2,0.6009288551471852,0.4451374073025261,6221291.083333333,438976.8428571429,5782314.24047619,0.8523910511733974,0.8856166389147704,0,0
3,0.6050273999950282,0.2653600258235294,7198269.549999998,463934.3142857143,6734335.235714284,0.7472715147326365,0.6755361618456055,0,0
4,0.6198405778313714,0.2138453145153172,8016356.633333333,473563.62857142865,7542793.0047619045,0.7746234321268293,0.7452346883656691,0,0
5,0.6085551580449151,0.3381898039606159,8903760.133333333,520398.1285714287,8383362.0047619045,0.7808311385465132,0.8388735592862164,1,1
6,0.5852355406239893,0.2766400011654488,9531037.633333333,554816.6142857143,8976221.019047618,0.7916892844858068,0.8553236497343071,0,0
7,0.5834724736213284,0.2476490907879246,10720871.016666666,580507.1142857143,10140363.90238095,0.6959213570794334,0.627883102749057,0,0
8,0.5824553210903114,0.3182007145358946,12129681.700000001,626937.4285714285,11502744.271428572,0.6651118219344418,0.6917742777094162,0,0
9,0.6057158434005538,0.3106518603466363,14464808.766666668,669490.9714285714,13795317.795238096,0.6917996937002291,0.5798803299131201,0,0
10,0.5925483151983457,0.3959167070860325,17315815.266666666,719567.4857142858,16596247.78095238,0.6863607053317171,0.6177009642453202,1,1
11,0.5761136492544849,0.3115284651138875,20827662.233333334,777154.5428571429,20050507.69047619,0.6598769359472036,0.41612000987825515,0,0
12,0.5606107787555901,0.3382443293922029,26564265.066666666,831700.5,25732564.566666666,0.6165152972035024,0.44341735085651335,0,0
13,0.5521430645074554,0.3074974850751354,33690512.78333334,884926.6714285715,32805586.111904766,0.5731661567856317,0.37537535182679527,0,0
14,0.5523741148223194,0.3098649293493605,40781475.50000001,942049.8428571431,39839425.65714286,0.58128885872914,0.4350390771862094,0,0
15,0.5556181846160224,0.3098809226429864,49379544.116666675,997426.4142857144,48382117.70238096,0.5846107335514599,0.47249433062696466,0,1
16,0.5762147273036715,0.3121270483372966,60036614.700000025,1044484.4142857144,58992130.28571431,0.6522799039586851,0.5422843419457546,0,0
17,0.5779224063985327,0.3968002197664389,69211357.23333336,1168511.5714285716,68042845.6619048,0.6099505838381567,0.6992264594750743,0,0
18,0.5980325901203103,0.2534878928050323,80893630.53333335,1222869.2142857146,79670761.31904763,0.6720467631382885,0.5793416316439062,0,0
19,0.5966694195010032,0.1813050885729482,91463635.00000001,1271108.1857142858,90192526.81428573,0.6293035517243386,0.4848103346966113,0,0
20,0.599718426461546,0.2833037277035339,101531983.43333335,1345152.1714285717,100186831.26190478,0.6109348751170391,0.6553623217515512,0,1
21,0.6068502128382123,0.1857809457727119,111790559.50000006,1389824.3571428575,110400735.14285721,0.6321674868165352,0.5681379690380761,0,0
22,0.6220062558420887,0.2857983911610413,127567775.2,1436065.2,126131710.0,0.7195490040365049,0.7170535420820023,0,0
23,0.6398157781531102,0.3263443472866455,141474936.38333336,1477586.657142857,139997349.7261905,0.7479409026237298,0.7668087354367412,0,0
24,0.6417053912626989,0.164727989217342,150567987.71666673,1503922.4571428574,149064065.25952387,0.7573205019723352,0.7963919508300064,0,0
25,0.639809558043396,0.3132436902279908,158537062.66666672,1567415.4857142859,156969647.18095243,0.6858784945680949,0.8732779117073679,0,1
26,0.6514445975358039,0.4204144457623754,173773753.6166667,1647236.0571428575,172126517.55952385,0.7817525539306998,0.8093397491321646,0,0
27,0.6618061953541574,0.3701150833604201,191743714.45000002,1697793.7285714292,190045920.7214286,0.7632417022259177,0.790743449421133,0,0
28,0.6652972958868786,0.3131413744087439,203373231.76666677,1772535.1285714286,201600696.63809535,0.6771736197723457,0.7612320167479891,0,0
29,0.6582342333378275,0.1153151206376489,210119927.16666663,1810795.7571428579,208309131.40952376,0.6575172510954461,0.7370711940240708,0,0
30,0.6528164760758117,0.2579559639613256,216564039.8833334,1878734.9571428576,214685304.92619056,0.6029345624782971,0.8312895534900431,0,1
