round_number,agent_id,agent_group,institution_choice,climate_damage,ldf_payout,ldf_contribution,coverage_ratio,net_transfer
5,0,developing,SFI,22500.0,20250.0,0.0,0.9,20250.0
5,1,developing,SFI,22500.0,20250.0,1069.0,0.9,19181.0
5,2,developed,SI,4500.0,0.0,3799420.0,0.0,-3799420.0
5,3,developed,SI,4500.0,0.0,300000.0,0.0,-300000.0
5,4,developing,SFI,22500.0,20250.0,0.0,0.9,20250.0
5,5,developed,SI,4500.0,0.0,0.0,0.0,0.0
5,6,developed,SI,4500.0,0.0,1350000.0,0.0,-1350000.0
5,7,developing,SFI,22500.0,20250.0,0.0,0.9,20250.0
5,8,developing,SFI,22500.0,20250.0,0.0,0.9,20250.0
5,9,developing,SFI,22500.0,20250.0,10000.0,0.9,10250.0
5,10,developed,SI,4500.0,0.0,500000.0,0.0,-500000.0
5,11,developing,SFI,22500.0,20250.0,30830.0,0.9,-10580.0
5,12,developing,SFI,22500.0,20250.0,14912.0,0.9,5338.0
5,13,developed,SI,4500.0,0.0,1200000.0,0.0,-1200000.0
5,14,developed,SI,4500.0,0.0,880000.0,0.0,-880000.0
5,15,developing,SFI,22500.0,20250.0,44795.0,0.9,-24545.0
5,16,developed,SI,4500.0,0.0,1200000.0,0.0,-1200000.0
5,17,developing,SFI,22500.0,20250.0,30830.0,0.9,-10580.0
5,18,developing,SFI,22500.0,20250.0,11800.0,0.9,8450.0
5,19,developing,SFI,22500.0,20250.0,1069.0,0.9,19181.0
5,20,developing,SFI,22500.0,20250.0,1000000.0,0.9,-979750.0
5,21,developed,SI,4500.0,0.0,6529794.0,0.0,-6529794.0
5,22,developed,SI,4500.0,0.0,30830.0,0.0,-30830.0
5,23,developed,SI,4500.0,0.0,391596.0,0.0,-391596.0
5,24,developing,SFI,22500.0,20250.0,0.0,0.9,20250.0
5,25,developed,SI,4500.0,0.0,5000000.0,0.0,-5000000.0
10,0,developing,SFI,45000.0,40500.0,200000.0,0.9,-159500.0
10,1,developing,SFI,45000.0,40500.0,1069.0,0.9,39431.0
10,2,developed,SI,9000.0,0.0,5000000.0,0.0,-5000000.0
10,3,developed,SI,9000.0,0.0,1200000.0,0.0,-1200000.0
10,4,developing,SFI,45000.0,40500.0,200000.0,0.9,-159500.0
10,5,developed,SI,9000.0,0.0,6000000.0,0.0,-6000000.0
10,6,developed,SI,9000.0,0.0,3000000.0,0.0,-3000000.0
10,7,developing,SFI,45000.0,40500.0,100000.0,0.9,-59500.0
10,8,developing,SFI,45000.0,40500.0,30830.0,0.9,9670.0
10,9,developing,SFI,45000.0,40500.0,10000.0,0.9,30500.0
10,10,developed,SI,9000.0,0.0,10000000.0,0.0,-10000000.0
10,11,developing,SFI,45000.0,40500.0,30830.0,0.9,9670.0
10,12,developing,SFI,45000.0,40500.0,30824.0,0.9,9676.0
10,13,developed,SI,9000.0,0.0,10000000.0,0.0,-10000000.0
10,14,developed,SI,9000.0,0.0,10000000.0,0.0,-10000000.0
10,15,developing,SFI,45000.0,40500.0,400000.0,0.9,-359500.0
10,16,developed,SI,9000.0,0.0,1200000.0,0.0,-1200000.0
10,17,developing,SFI,45000.0,40500.0,30830.0,0.9,9670.0
10,18,developing,SFI,45000.0,40500.0,118000.0,0.9,-77500.0
10,19,developing,SFI,45000.0,40500.0,1069.0,0.9,39431.0
10,20,developing,SFI,45000.0,40500.0,120000.0,0.9,-79500.0
10,21,developed,SI,9000.0,0.0,3989560.0,0.0,-3989560.0
10,22,developed,SI,9000.0,0.0,1200000.0,0.0,-1200000.0
10,23,developed,SI,9000.0,0.0,10000000.0,0.0,-10000000.0
10,24,developing,SFI,45000.0,40500.0,0.0,0.9,40500.0
10,25,developed,SI,9000.0,0.0,4000000.0,0.0,-4000000.0
