round_number,ldf_pool_end,ldf_contributions_total,ldf_payouts_total,gross_damage_total,net_damage_total,coverage_ratio
1,9556400.0,9556400.0,0.0,0.0,0.0,
2,34835018.0,25278618.0,0.0,0.0,0.0,
3,56631255.0,21796237.0,0.0,0.0,0.0,
4,74846824.0,18215569.0,0.0,0.0,0.0,
5,96890269.0,22326945.0,283500.0,369000.0,85500.0,0.7682926829268293
6,110324197.0,13433928.0,0.0,0.0,0.0,
7,137486863.0,27162666.0,0.0,0.0,0.0,
8,166855984.0,29369121.0,0.0,0.0,0.0,
9,214734068.0,47878084.0,0.0,0.0,0.0,
10,281030080.0,66863012.0,567000.0,738000.0,171000.0,0.7682926829268293
11,359627374.0,78597294.0,0.0,0.0,0.0,
12,487900113.0,128272739.0,0.0,0.0,0.0,
13,631960238.0,144060125.0,0.0,0.0,0.0,
14,784111293.0,152151055.0,0.0,0.0,0.0,
15,957552172.0,173440879.0,0.0,0.0,0.0,
16,1171983767.0,214431595.0,0.0,0.0,0.0,
17,1358483838.0,186500071.0,0.0,0.0,0.0,
18,1593416159.0,234932321.0,0.0,0.0,0.0,
19,1806015931.0,212599772.0,0.0,0.0,0.0,
20,2009189596.0,203173665.0,0.0,0.0,0.0,
21,2215508345.0,206318749.0,0.0,0.0,0.0,
22,2532189982.0,316681637.0,0.0,0.0,0.0,
23,2811377053.0,279187071.0,0.0,0.0,0.0,
24,3005243955.0,193866902.0,0.0,0.0,0.0,
25,3166205568.0,160961613.0,0.0,0.0,0.0,
26,3472979757.0,306774189.0,0.0,0.0,0.0,
27,3842664236.0,369684479.0,0.0,0.0,0.0,
28,4077186165.0,234521929.0,0.0,0.0,0.0,
29,4213199891.0,136013726.0,0.0,0.0,0.0,
30,4343669040.0,130469149.0,0.0,0.0,0.0,
