agent_id,agent_group,institution_choice,sum_ldf_payout,sum_ldf_contrib,net_ldf
0,developing,SFI,60750.0,1852176.0,-1791426.0
1,developing,SFI,60750.0,30932.0,29818.0
2,developed,SI,0.0,232343820.0,-232343820.0
3,developed,SI,0.0,496191355.0,-496191355.0
4,developing,SFI,60750.0,3719061.0,-3658311.0
5,developed,SI,0.0,294111436.0,-294111436.0
6,developed,SI,0.0,363879033.0,-363879033.0
7,developing,SFI,60750.0,3095475.0,-3034725.0
8,developing,SFI,60750.0,1371093.0,-1310343.0
9,developing,SFI,60750.0,3404159.0,-3343409.0
10,developed,SI,0.0,314976032.0,-314976032.0
11,developing,SFI,60750.0,864240.0,-803490.0
12,developing,SFI,60750.0,4112416.0,-4051666.0
13,developed,SI,0.0,261473500.0,-261473500.0
14,developed,SI,0.0,263476832.0,-263476832.0
15,developing,SFI,60750.0,3722202.0,-3661452.0
16,developed,SI,0.0,222957200.0,-222957200.0
17,developing,SFI,60750.0,864240.0,-803490.0
18,developing,SFI,60750.0,3634402.0,-3573652.0
19,developing,SFI,60750.0,31001.0,29749.0
20,developing,SFI,60750.0,4572986.0,-4512236.0
21,developed,SI,0.0,461218893.0,-461218893.0
22,developed,SI,0.0,442531408.0,-442531408.0
23,developed,SI,0.0,485334465.0,-485334465.0
24,developing,SFI,60750.0,2893166.0,-2832416.0
25,developed,SI,0.0,471858017.0,-471858017.0
