round_number,rule,new_value,proposer,institution_choice,mean_prop_pre,mean_prop_post,delta_prop
5,SUBSIDY_FRACTION,0.3,4,SI,0.37130321447987136,0.19286589293507958,-0.17843732154479178
5,SUBSIDY_FRACTION,0.3,4,SFI,0.12671628357150805,0.32152375005489925,0.1948074664833912
5,SUBSIDY_FRACTION,0.3,4,ALL,0.23960255937536803,0.26214320061498253,0.022540641239614495
10,LDF_EQUITY_WEIGHT,0.5,22,SI,0.3286013970228617,0.37743873730110583,0.04883734027824416
10,LDF_EQUITY_WEIGHT,0.5,22,SFI,0.3022761329041547,0.2798406027394345,-0.02243553016472022
10,LDF_EQUITY_WEIGHT,0.5,22,ALL,0.31442625480509645,0.32488589561405207,0.010459640808955617
15,SUBSIDY_FRACTION,0.4,24,SI,0.3396462692641103,0.3105812418670543,-0.029065027397055965
15,SUBSIDY_FRACTION,0.4,24,SFI,0.28213911705430755,0.39207625083004716,0.1099371337757396
15,SUBSIDY_FRACTION,0.4,24,ALL,0.30868087961267804,0.3544631697702042,0.04578229015752616
20,LDF_PAYOUT_DAMAGE_WEIGHT,1.5,14,SI,0.2827449876033596,0.2798824367347668,-0.0028625508685927725
20,LDF_PAYOUT_DAMAGE_WEIGHT,1.5,14,SFI,0.16138329503947854,0.19799579999781156,0.036612504958333014
20,LDF_PAYOUT_DAMAGE_WEIGHT,1.5,14,ALL,0.21739638391511595,0.23578963233794475,0.0183932484228288
25,LDF_EQUITY_WEIGHT,0.7,22,SI,0.2710863757890634,0.4057010447668585,0.13461466897779506
25,LDF_EQUITY_WEIGHT,0.7,22,SFI,0.22363467491934444,0.3863182748882147,0.16268359996887025
25,LDF_EQUITY_WEIGHT,0.7,22,ALL,0.24553545993613785,0.39526416867835795,0.1497287087422201
30,SUBSIDY_FRACTION,0.6,15,SI,0.12345616650667562,,
30,SUBSIDY_FRACTION,0.6,15,SFI,0.2920325103402552,,
30,SUBSIDY_FRACTION,0.6,15,ALL,0.21422804395552617,,
