round_number,proposal_index,proposer,proposer_group,proposer_institution,proposer_mean_prop,proposer_zero_share,proposer_mean_rep,proposer_n_gossip,rule,new_value,category,direction_vs_param_default,reason,adopted,shock_round,record_id,proposer_prop_prev3
5,0,4,developing,SFI,0.4226693865582444,0.2333333333333333,4.7,7,SUBSIDY_FRACTION,0.3,reward_subsidy,increase,"Increasing the subsidy fraction will incentivize cooperation by rewarding top contributors and potentially reducing punishment costs, thereby fostering a more collaborative community.",1,1,CC-R05-P0,0.09921191018606217
5,1,23,developed,SI,0.4694447770251339,0.0666666666666666,5.000000000000001,2,SUBSIDY_FRACTION,0.5,reward_subsidy,increase,"Increasing the subsidy fraction will incentivize cooperation by rewarding top contributors and potentially reducing punishment costs, thereby fostering a more collaborative environment.",0,1,CC-R05-P1,0.13275504413356165
10,0,1,developing,SFI,0.0022131003450842,0.0333333333333333,4.766666666666667,2,LDF_MAX_COVERAGE,0.95,ldf_redistribution,increase,"Increasing the maximum fraction of climate damage covered by LDF payouts will incentivize cooperation and reduce free-riding, leading to increased trust and sustainability.",0,1,CC-R10-P0,0.0019126022442748332
10,1,22,developed,SI,0.3166459459694243,0.0333333333333333,5.081333333333333,1,LDF_EQUITY_WEIGHT,0.5,ldf_equity,increase,"Increasing the weight of equity in LDF payouts will incentivize cooperation and fairness by prioritizing poorer developing nations, promoting trust within the community.",1,1,CC-R10-P1,0.062350053290009165
15,0,20,developing,SFI,0.6028192786680953,0.0666666666666666,5.4626666666666654,0,SUBSIDY_TOP_N,5.0,reward_subsidy,increase,Increasing the number of top contributors in the SI who share the subsidy pool will incentivize more cooperation and sharing among high-contributing agents.,0,0,CC-R15-P0,0.45908026670978686
15,1,24,developing,SFI,0.0320976824511767,0.2333333333333333,4.286666666666666,5,SUBSIDY_FRACTION,0.4,reward_subsidy,increase,Increasing the subsidy fraction will incentivize cooperation by providing a stronger reward for contributing to the public good,1,0,CC-R15-P1,0.04471068371499367
20,0,25,developed,SI,0.4124639542048054,0.1,4.909333333333334,2,LDF_EQUITY_WEIGHT,0.7,ldf_equity,increase,"Increasing the weight on equity will incentivize cooperation and fairness by prioritizing poorer developing nations, promoting trust and sustainability in the community.",0,0,CC-R20-P0,0.2876614496070505
20,1,14,developed,SI,0.220784804199347,0.1333333333333333,4.362666666666668,8,LDF_PAYOUT_DAMAGE_WEIGHT,1.5,ldf_damage_weight,increase,"Increasing the weight of direct damage on LDF payouts will incentivize agents to prioritize cooperation and reduce free-riding, leading to improved collective welfare.",1,0,CC-R20-P1,0.19207702108420807
20,2,10,developed,SI,0.2033133985426533,0.1,4.944,3,PUNISHMENT_EFFECT,1.0,punishment_weakening,decrease,"Reducing the punishment effect will encourage cooperation and reduce retaliation, promoting a more sustainable community.",0,0,CC-R20-P2,0.16998581453878012
25,0,20,developing,SFI,0.6028192786680953,0.0666666666666666,5.4626666666666654,0,LDF_MAX_COVERAGE,0.95,ldf_redistribution,increase,"Increasing the maximum fraction of climate damage covered by LDF payouts will incentivize cooperation and reduce free-riding, leading to more sustainable collective outcomes.",0,0,CC-R25-P0,0.9392214494207445
25,1,22,developed,SI,0.3166459459694243,0.0333333333333333,5.081333333333333,1,LDF_EQUITY_WEIGHT,0.7,ldf_equity,increase,"Increasing the weight on equity will incentivize cooperation and fairness among nations, promoting a more sustainable collective outcome.",1,0,CC-R25-P1,1.1634800494008688
25,2,21,developed,SI,0.4251809526631208,0.0,5.408,1,PUNISHMENT_EFFECT,1.0,punishment_weakening,decrease,Reducing the punishment effect to 1 will discourage excessive retaliation and promote cooperation by making punishment less costly.,0,0,CC-R25-P2,0.3731983241816892
30,0,15,developing,SFI,0.5786948218385526,0.2,4.549333333333333,6,SUBSIDY_FRACTION,0.6,reward_subsidy,increase,Increasing the subsidy fraction will incentivize cooperation and trust by providing a stronger reward for contributing to the common good,1,0,CC-R30-P0,1.3762063212370048
30,1,3,developed,SI,0.4897002390583403,0.1333333333333333,4.666666666666668,7,SUBSIDY_FRACTION,0.5,reward_subsidy,increase,"Increasing the subsidy fraction will incentivize cooperation and reduce punishment, promoting a more sustainable community",0,0,CC-R30-P1,1.2662627259762969
