round_number,event_family,n_affected,n_control,affected_mean_delta,control_mean_delta,diff_in_diff
2,bad_rep,14,12,-0.29199819791500964,-0.048841506442016604,-0.24315669147299304
2,gossip_target,5,21,-0.9047412034275938,-0.007160325284588775,-0.897580878143005
2,rep_drop,14,12,-0.29199819791500964,-0.048841506442016604,-0.24315669147299304
3,bad_rep,4,22,0.07078115436425295,-0.07375044903424341,0.14453160339849636
3,gossip_target,5,21,0.056758621706239985,-0.07729420808702588,0.13405282979326585
3,rep_drop,4,22,0.07078115436425295,-0.07375044903424341,0.14453160339849636
4,bad_rep,3,23,-0.2468471697629541,0.17276080401038096,-0.41960797377333503
4,gossip_target,4,22,-0.27566663928037705,0.1970737972759731,-0.4727404365563501
4,rep_drop,5,21,-0.18314927231943584,0.19755730212128947,-0.3807065744407253
5,bad_rep,8,18,0.6371918762713691,-0.3721039775691067,1.0092958538404757
5,gossip_target,5,21,1.0434048877211761,-0.3246362392704214,1.3680411269915975
5,rep_drop,11,15,0.23665165471730276,-0.2802336525308865,0.5168853072481893
6,bad_rep,6,20,-0.4721928465642564,0.10397074456939848,-0.5761635911336549
6,gossip_target,5,21,-0.6200498174390575,0.1117384237713199,-0.7317882412103774
6,rep_drop,4,22,0.07239182313135425,-0.047423158205590295,0.11981498133694454
7,bad_rep,10,16,0.2731973577654884,-0.056100456073984055,0.3292978138394725
7,gossip_target,5,21,0.04070544731820845,0.07765900208952844,-0.036953554771319994
7,rep_drop,8,18,-0.1373338958931852,0.16294652486759006,-0.30028042076077527
8,bad_rep,4,22,-0.905846052123967,0.15577784788350363,-1.0616239000074705
8,gossip_target,4,22,-0.905846052123967,0.15577784788350363,-1.0616239000074705
8,rep_drop,5,21,-0.07036156380227554,0.007406488759647096,-0.07776805256192264
9,gossip_target,4,22,0.018187362901102802,0.09746013231358934,-0.07927276941248654
9,rep_drop,7,19,-0.2245027994884876,0.19938905046962047,-0.423891849958108
10,bad_rep,2,24,0.012954872559574549,-0.09250010826631418,0.10545498082588872
10,gossip_target,2,24,0.012954872559574549,-0.09250010826631418,0.10545498082588872
10,rep_drop,4,22,-0.1058635834673378,-0.08048356906377455,-0.02538001440356326
11,bad_rep,3,23,0.14196444210169964,0.011683501406844043,0.1302809406948556
11,gossip_target,1,25,-0.0002731306784251042,0.02779547957363748,-0.028068610252062583
11,rep_drop,5,21,-0.10029977212730919,0.05695774853805036,-0.15725752066535953
12,bad_rep,3,23,-0.08798654652703881,-0.023280440090076807,-0.06470610643696201
12,gossip_target,4,22,-0.06857076656036304,-0.023869395245974135,-0.04470137131438891
12,rep_drop,7,19,-0.06004402309952454,-0.01995271578716902,-0.04009130731235552
13,bad_rep,1,25,-0.1000294868862549,0.006462972778322539,-0.10649245966457745
13,gossip_target,2,24,-0.12106060558490321,0.01265275182256729,-0.1337133574074705
13,rep_drop,3,23,-0.12271536722652386,0.018682214532668707,-0.14139758175919256
14,bad_rep,1,25,-0.18314988559282008,0.007342654090613663,-0.19049253968343374
14,gossip_target,2,24,-0.11609440247314243,0.009691886317450263,-0.1257862887905927
14,rep_drop,5,21,-0.055551115528927816,0.013246287824626694,-0.06879740335355451
15,bad_rep,4,22,-0.09654672414430211,0.020208588238943725,-0.11675531238324584
15,gossip_target,3,23,-0.03733926627625008,0.00740955841340451,-0.04474882468965459
15,rep_drop,6,20,-0.074630571266712,0.025309273613991268,-0.09993984488070327
16,bad_rep,2,24,2.813624648347403,-0.1427396693241417,2.9563643176715444
16,gossip_target,2,24,2.813624648347403,-0.1427396693241417,2.9563643176715444
16,rep_drop,3,23,-0.06837324067321028,0.10463551977978415,-0.17300876045299443
17,bad_rep,1,25,-5.494365417787985,0.07073029042819491,-5.565095708216179
17,gossip_target,2,24,-2.7691343911871202,0.07550669272046366,-2.8446410839075837
17,rep_drop,3,23,-0.07559597703673139,-0.15214435765099643,0.07654838061426504
18,bad_rep,2,24,-0.0006198191929340496,-0.07814642270116273,0.07752660350822868
18,gossip_target,2,24,-0.0006198191929340496,-0.07814642270116273,0.07752660350822868
18,rep_drop,4,22,0.04835286214224582,-0.0940984196264889,0.14245128176873473
19,bad_rep,2,24,0.0804696354068474,0.10379260290951314,-0.023322967502665742
19,gossip_target,1,25,0.0,0.10607846962568043,-0.10607846962568043
19,rep_drop,4,22,0.030001924706384603,0.11508882008256695,-0.08508689537618234
20,bad_rep,2,24,0.0,-0.10564947500877331,0.10564947500877331
20,gossip_target,2,24,0.0,-0.10564947500877331,0.10564947500877331
20,rep_drop,5,21,0.0076605547723445746,-0.12256619876534683,0.1302267535376914
21,bad_rep,3,23,0.041840280339414095,0.1076057904052055,-0.0657655100657914
21,gossip_target,3,23,0.041840280339414095,0.1076057904052055,-0.0657655100657914
21,rep_drop,6,20,0.036066930894516215,0.1192026217485436,-0.08313569085402739
22,bad_rep,2,24,0.0249788843183309,0.04184221091745901,-0.01686332659912811
22,gossip_target,2,24,0.0249788843183309,0.04184221091745901,-0.01686332659912811
22,rep_drop,6,20,0.08731318368450468,0.02651458642743245,0.06079859725707223
23,bad_rep,4,22,-0.0715627147299197,-0.1779891721647093,0.10642645743478961
23,gossip_target,3,23,-0.09541695297322626,-0.17025051250537412,0.07483355953214786
23,rep_drop,5,21,-0.043431598015532244,-0.1897549836412201,0.14632338562568786
24,bad_rep,4,22,0.011464173498995455,0.1734339074294843,-0.16196973393048886
24,gossip_target,4,22,0.011464173498995455,0.1734339074294843,-0.16196973393048886
24,rep_drop,6,20,0.012240720835480468,0.18939791662158773,-0.17715719578610725
25,bad_rep,8,18,0.5418548582316361,-0.08602166805729473,0.6278765262889309
25,gossip_target,5,21,0.8866947539645686,-0.07842975852385993,0.9651245124884286
25,rep_drop,6,20,0.16183233044967896,0.09077274290618556,0.0710595875434934
26,bad_rep,6,20,-0.017028473456024654,-0.06028133273289815,0.0432528592768735
26,gossip_target,5,21,-0.020313567037647813,-0.057439507628851055,0.03712594059120324
26,rep_drop,5,21,0.04950610113306704,-0.07406323814568794,0.12356933927875498
27,bad_rep,2,24,-2.4777197989269437,0.1447558484004026,-2.6224756473273465
27,gossip_target,2,24,-2.4777197989269437,0.1447558484004026,-2.6224756473273465
27,rep_drop,5,21,-1.035169032413004,0.1759307583724188,-1.2110997907854228
28,bad_rep,2,24,-2.064334636243302,-0.04228388521742041,-2.0220507510258816
28,gossip_target,2,24,-2.064334636243302,-0.04228388521742041,-2.0220507510258816
28,rep_drop,3,23,-1.3763231364171686,-0.04410926558492125,-1.3322138708322473
29,bad_rep,1,25,0.0012909883629553,0.14829414592738963,-0.14700315756443433
29,gossip_target,1,25,0.0012909883629553,0.14829414592738963,-0.14700315756443433
29,rep_drop,6,20,-0.24615687994085467,0.2592792958096412,-0.5054361757504959
