agent_id,institution_choice,delta_r5,delta_r10,r5_up,r10_up,cell
0,SFI,0.0026578431341905,-0.224724000143116,1,0,up_down
1,SFI,-0.003526126892214,-0.0004598570538003001,0,0,down_down
2,SI,-0.1973981744985299,0.019029533259529052,0,1,down_up
3,SI,-0.4149769530827568,-1.5098395212828615,0,0,down_down
4,SFI,-0.0894780921839096,0.3670175213908325,0,1,down_up
5,SI,-0.5609080118997916,0.5274646696523024,0,1,down_up
6,SI,-1.8365827297751105,-0.013151775310608516,0,0,down_down
7,SFI,0.0,0.3828394077029969,0,1,down_up
8,SFI,4.693819167544251,0.0606994946649641,1,1,up_up
9,SFI,-0.7058492792436218,0.0927896487997168,0,1,down_up
10,SI,0.2733044220983461,-0.0927548976872109,1,0,up_down
11,SFI,-0.015684252191255,-0.0076893702298259994,0,0,down_down
12,SFI,-0.011258435472041702,-0.0058478371637498,0,0,down_down
13,SI,-0.0046757439587818,0.3593425558347223,0,1,down_up
14,SI,-0.6648611877569607,-0.0963726116864505,0,0,down_down
15,SFI,-0.251925196419085,0.3953873041170837,0,1,down_up
16,SI,-0.03721179985039211,-0.024243966444968797,0,0,down_down
17,SFI,-0.017542080151415805,-0.008195457961782601,0,0,down_down
18,SFI,0.0280976579343499,-0.08756033279637077,1,0,up_down
19,SFI,-0.0014989358220245,-0.0003419247441053,0,0,down_down
20,SFI,0.5326805557283939,-0.1955134695126014,1,0,up_down
21,SI,0.3524288840545432,0.170012524145631,1,1,up_up
22,SI,-0.1918016505747213,0.0335859000741831,0,1,down_up
23,SI,0.3353513735679267,-0.08801341420777889,1,0,up_down
24,SFI,0.0401580003904275,0.0452514812754997,1,1,up_up
25,SI,0.3793011421971155,-0.07593209546124546,1,0,up_down
