round_number,voter,voter_group,voter_institution,vote_index,voted_rule,voted_new_value,voted_proposer,vote_reason,same_group_as_proposer
5,0,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,"I choose proposal [0] because it suggests a more moderate increase in the subsidy fraction, which may be less likely to disrupt the community's dynamics.",1
5,1,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it is a more conservative adjustment that may still incentivize cooperation without overburdening the community.,1
5,2,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it is a more conservative adjustment that may encourage cooperation without over-rewarding contributors.,0
5,3,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it is a more conservative adjustment that may still incentivize cooperation without overburdening the community.,0
5,4,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,"Increasing the subsidy fraction to 0.3 may have a more moderate effect on cooperation, allowing for further experimentation and adjustment.",1
5,5,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it is a more conservative adjustment that may still incentivize cooperation without overburdening the community.,0
5,6,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
5,7,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,1
5,8,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it is a more conservative adjustment that may encourage cooperation without over-rewarding contributors.,1
5,9,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,1
5,10,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
5,11,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,1
5,12,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,1
5,13,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
5,14,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
5,15,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,1
5,16,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
5,17,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,1
5,18,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,1
5,19,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it is a more conservative adjustment that may encourage cooperation without over-rewarding contributors.,1
5,20,developing,SFI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it is a more conservative adjustment that may still incentivize cooperation without overburdening the community.,1
5,21,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
5,22,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
5,23,developed,SI,1,SUBSIDY_FRACTION,0.5,23,Increasing the subsidy fraction to 0.5 aligns with my initial strategy and may further incentivize cooperation.,1
5,24,developing,SFI,1,SUBSIDY_FRACTION,0.5,23,I choose to increase the subsidy fraction to 0.5 as it provides a stronger incentive for cooperation and potentially reduces punishment costs.,0
5,25,developed,SI,0,SUBSIDY_FRACTION,0.3,4,I choose to increase the subsidy fraction to 0.3 as it strikes a balance between incentivizing cooperation and maintaining reasonable punishment costs.,0
10,0,developing,SFI,1,LDF_EQUITY_WEIGHT,0.5,22,"I choose to increase the equity weight in LDF payouts as it prioritizes poorer developing nations, promoting fairness and trust within the community.",0
10,1,developing,SFI,0,LDF_MAX_COVERAGE,0.95,1,I choose proposal [0] LDF_MAX_COVERAGE → 0.95 because it directly addresses the issue of free-riding and has a more significant predicted resilience impact.,1
10,2,developed,SI,1,LDF_EQUITY_WEIGHT,0.5,22,"I choose to increase the equity weight in LDF payouts as it promotes fairness and cooperation among nations, which is crucial for long-term sustainability.",1
10,3,developed,SI,1,LDF_EQUITY_WEIGHT,0.5,22,"I choose to increase the equity weight in LDF payouts as it prioritizes poorer developing nations, promoting fairness and trust within the community.",1
10,4,developing,SFI,1,LDF_EQUITY_WEIGHT,0.5,22,"I choose proposal [1] LDF_EQUITY_WEIGHT → 0.5 because it prioritizes fairness and cooperation by giving more weight to poorer nations, which I believe will increase overall group welfare.",0
10,5,developed,SI,1,LDF_EQUITY_WEIGHT,0.5,22,"I choose proposal [1] to prioritize equity in LDF payouts, which I believe will promote fairness and cooperation within the community.",1
10,6,developed,SI,1,LDF_EQUITY_WEIGHT,0.5,22,"I choose proposal [1] LDF_EQUITY_WEIGHT → 0.5 because it prioritizes fairness and equity, which I believe will foster a more cooperative community.",1
