run,source_file,round_number,applied,rule,new_value,proposer,reason,record_id,seed
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,5,1,SUBSIDY_FRACTION,0.3,4,"Increasing the subsidy fraction will incentivize cooperation by rewarding top contributors and potentially reducing punishment costs, thereby fostering a more collaborative community.",CC-R05-WIN,seed1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,10,1,LDF_EQUITY_WEIGHT,0.5,22,"Increasing the weight of equity in LDF payouts will incentivize cooperation and fairness by prioritizing poorer developing nations, promoting trust within the community.",CC-R10-WIN,seed1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,15,1,SUBSIDY_FRACTION,0.4,24,Increasing the subsidy fraction will incentivize cooperation by providing a stronger reward for contributing to the public good,CC-R15-WIN,seed1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,20,1,LDF_PAYOUT_DAMAGE_WEIGHT,1.5,14,"Increasing the weight of direct damage on LDF payouts will incentivize agents to prioritize cooperation and reduce free-riding, leading to improved collective welfare.",CC-R20-WIN,seed1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,25,1,LDF_EQUITY_WEIGHT,0.7,22,"Increasing the weight on equity will incentivize cooperation and fairness among nations, promoting a more sustainable collective outcome.",CC-R25-WIN,seed1
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,30,1,SUBSIDY_FRACTION,0.6,15,Increasing the subsidy fraction will incentivize cooperation and trust by providing a stronger reward for contributing to the common good,CC-R30-WIN,seed1
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,1,SUBSIDY_TOP_N,5.0,3,Increasing the number of top contributors who share the subsidy pool to 5 will incentivize cooperation and trust by rewarding a broader range of community members for their contributions.,CC-R05-WIN,seed2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,10,1,SUBSIDY_FRACTION,0.5,0,"Increasing the subsidy fraction will incentivize cooperation by providing a greater reward for SI contributors, which is crucial for building trust and sustainability in this public goods game.",CC-R10-WIN,seed2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,15,1,LDF_EQUITY_WEIGHT,1.0,23,"Increasing the weight on equity will prioritize poorer nations, promoting more equitable distribution of LDF payouts and potentially increasing overall trust among agents.",CC-R15-WIN,seed2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,20,1,PUNISHMENT_EFFECT,2.0,17,"Reducing the punishment effect will incentivize agents to cooperate more and reduce the likelihood of toxic behavior, leading to a more sustainable collective payoff.",CC-R20-WIN,seed2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,25,1,SUBSIDY_FRACTION,0.8,18,"Reducing the subsidy fraction will incentivize cooperation and reduce free-riding behavior, promoting a more sustainable community",CC-R25-WIN,seed2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,30,1,SUBSIDY_FRACTION,1.0,0,"Increasing the subsidy fraction will incentivize cooperation by providing a more substantial reward to top contributors, promoting trust and sustainable behavior within the community.",CC-R30-WIN,seed2
