agent_id,mean_prop_seed1,agent_group_seed1,institution_choice_seed1,mean_prop_seed2,agent_group_seed2,institution_choice_seed2,same_group
0,0.2356179058382602,developing,SFI,0.5604743484802527,developed,SI,False
1,0.0022131003450842363,developing,SFI,0.5061914454911097,developing,SFI,True
2,0.16299487498855933,developed,SI,0.40961816007059276,developing,SFI,False
3,0.4897002390583403,developed,SI,0.5066180774698342,developing,SFI,False
4,0.4226693865582444,developing,SFI,0.5868830435139787,developed,SI,False
5,0.19694215273431245,developed,SI,0.24286257278737972,developing,SFI,False
6,0.3341562843136781,developed,SI,0.3236334366621628,developed,SI,True
7,0.44047943727707417,developing,SFI,0.5209918099559369,developed,SI,False
8,0.2490378069073565,developing,SFI,0.11078101648420262,developing,SFI,True
9,0.529378282055166,developing,SFI,0.37672176542261104,developing,SFI,True
10,0.2033133985426533,developed,SI,0.28150435071547114,developing,SFI,False
11,0.02287818399839425,developing,SFI,0.2774437771188479,developing,SFI,True
12,0.462223232353866,developing,SFI,0.37518339496510394,developing,SFI,True
13,0.1296395272549077,developed,SI,0.564242348371476,developing,SFI,False
14,0.22078480419934704,developed,SI,0.33803137525892046,developed,SI,True
15,0.5786948218385526,developing,SFI,0.32539201806510387,developing,SFI,True
16,0.12485217380622582,developed,SI,0.4031281050356429,developing,SFI,False
17,0.023710401676056824,developing,SFI,0.3569310654080591,developing,SFI,True
18,0.5375354580965059,developing,SFI,0.31168562784124876,developed,SI,False
19,0.0010792783218110333,developing,SFI,0.1689455676260504,developed,SI,False
20,0.6028192786680953,developing,SFI,0.3088673880520011,developed,SI,False
21,0.42518095266312084,developed,SI,0.2773175937378111,developed,SI,True
22,0.31664594596942436,developed,SI,0.18363791155909015,developed,SI,True
23,0.4694447770251339,developed,SI,0.38445523047373575,developing,SFI,False
24,0.03209768245117674,developing,SFI,0.3718810687333992,developed,SI,False
25,0.41246395420480547,developed,SI,0.4163063901094826,developed,SI,True
