round_number,ldf_pool_end,seed
1,9556400.0,seed1
2,34835018.0,seed1
3,56631255.0,seed1
4,74846824.0,seed1
5,96890269.0,seed1
6,110324197.0,seed1
7,137486863.0,seed1
8,166855984.0,seed1
9,214734068.0,seed1
10,281030080.0,seed1
11,359627374.0,seed1
12,487900113.0,seed1
13,631960238.0,seed1
14,784111293.0,seed1
15,957552172.0,seed1
16,1171983767.0,seed1
17,1358483838.0,seed1
18,1593416159.0,seed1
19,1806015931.0,seed1
20,2009189596.0,seed1
21,2215508345.0,seed1
22,2532189982.0,seed1
23,2811377053.0,seed1
24,3005243955.0,seed1
25,3166205568.0,seed1
26,3472979757.0,seed1
27,3842664236.0,seed1
28,4077186165.0,seed1
29,4213199891.0,seed1
30,4343669040.0,seed1
1,33826170.0,seed2
2,57354517.0,seed2
3,97229020.0,seed2
4,147113487.0,seed2
5,202800413.0,seed2
6,265996147.0,seed2
7,364229428.0,seed2
8,530916339.0,seed2
9,719682901.0,seed2
10,930593244.0,seed2
11,1163935596.0,seed2
12,1416967891.0,seed2
13,1668040233.0,seed2
14,1980529557.0,seed2
15,2378467808.0,seed2
16,2782242634.0,seed2
17,3356898166.0,seed2
18,3712814030.0,seed2
19,4093230933.0,seed2
20,4331819282.0,seed2
21,4813615224.0,seed2
22,5158798460.0,seed2
23,5971031724.0,seed2
24,6252442469.0,seed2
25,6615223818.0,seed2
26,7221846491.0,seed2
27,8545895683.0,seed2
28,9329939565.0,seed2
29,10774584272.0,seed2
30,13007116080.0,seed2
