seed,round_number,mean_wealth_developed,mean_wealth_developing,wealth_gap_dev_minus_developing,wealth_ratio_dev_over_developing
seed1,1,4979079.499999999,421757.14285714284,4557322.357142856,11.805560579886865
seed1,2,6221291.083333332,438976.84285714285,5782314.240476189,14.172253467497692
seed1,3,7198269.55,463934.3142857143,6734335.235714286,15.515708427566192
seed1,4,8016356.633333334,473563.62857142865,7542793.004761905,16.92772871412402
seed1,5,8903760.133333333,520398.12857142865,8383362.0047619045,17.109516050289223
seed1,6,9531037.633333333,554816.6142857143,8976221.019047618,17.178717053388613
seed1,7,10720871.016666668,580507.1142857143,10140363.902380953,18.46811305638894
seed1,8,12129681.699999997,626937.4285714285,11502744.271428568,19.347515632683322
seed1,9,14464808.766666666,669490.9714285715,13795317.795238094,21.60568160583466
seed1,10,17315815.266666666,719567.4857142859,16596247.78095238,24.06419913412006
seed1,11,20827662.233333334,777154.542857143,20050507.69047619,26.799897684136536
seed1,12,26564265.066666663,831700.5000000001,25732564.566666663,31.939700729609587
seed1,13,33690512.78333334,884926.6714285716,32805586.111904766,38.07153052460882
seed1,14,40781475.50000001,942049.842857143,39839425.65714286,43.290146279642556
seed1,15,49379544.11666668,997426.4142857144,48382117.70238097,49.50695450754509
seed1,16,60036614.70000002,1044484.4142857145,58992130.285714306,57.47966544915551
seed1,17,69211357.23333336,1168511.5714285716,68042845.6619048,59.230356742397134
seed1,18,80893630.53333335,1222869.2142857146,79670761.31904763,66.1506803739301
seed1,19,91463635.00000001,1271108.1857142858,90192526.81428573,71.95582250821789
seed1,20,101531983.43333335,1345152.1714285717,100186831.26190478,75.47992382564782
seed1,21,111790559.50000004,1389824.357142857,110400735.1428572,80.43502686182188
seed1,22,127567775.20000003,1436065.2,126131710.00000003,88.83146475522145
seed1,23,141474936.38333338,1477586.6571428573,139997349.72619054,95.74730233209948
seed1,24,150567987.7166667,1503922.4571428574,149064065.25952384,100.11685576044582
seed1,25,158537062.66666672,1567415.4857142859,156969647.18095243,101.14552530047251
seed1,26,173773753.6166667,1647236.0571428572,172126517.55952385,105.49414145175922
seed1,27,191743714.45000005,1697793.7285714287,190045920.72142863,112.93699065041228
seed1,28,203373231.76666674,1772535.1285714288,201600696.63809532,114.73579760902962
seed1,29,210119927.16666672,1810795.7571428574,208309131.40952384,116.03734233296522
seed1,30,216564039.88333336,1878734.9571428576,214685304.9261905,115.27120366817446
seed2,1,6036182.833333333,556401.8571428572,5479780.976190476,10.848602958173686
seed2,2,7101066.483333333,650876.7428571429,6450189.74047619,10.91000187249263
seed2,3,8989162.799999999,739587.6,8249575.199999999,12.154290850738978
seed2,4,11295573.950000001,899033.9142857144,10396540.035714287,12.564124412341412
seed2,5,13747157.33333333,1189880.2714285715,12557277.061904758,11.55339546627534
seed2,6,16614110.85,1438290.2142857143,15175820.635714285,11.551292419973059
seed2,7,21225895.566666666,1690516.285714286,19535379.28095238,12.555865770732986
seed2,8,28931685.98333333,2054345.1857142858,26877340.797619045,14.083166833169726
seed2,9,38001421.88333333,2368291.7142857146,35633130.16904762,16.045921055293096
seed2,10,48295891.95000001,2594868.214285715,45701023.735714294,18.612078904089678
seed2,11,59366675.78333334,3105128.8714285716,56261546.91190477,19.118908825198165
seed2,12,71245076.93333335,3766817.5285714297,67478259.40476193,18.913864659739207
seed2,13,82884208.98333335,4548776.785714286,78335432.19761907,18.221208225392882
seed2,14,97675542.08333337,5257921.371428573,92417620.7119048,18.57683582225099
seed2,15,116914264.95000003,5816113.885714287,111098151.06428574,20.10178398280136
seed2,16,136388920.28333333,6427210.285714288,129961709.99761905,21.220547363524723
seed2,17,164175591.65,7235567.057142859,156940024.59285715,22.69007948560548
seed2,18,181638270.35,7518729.557142859,174119540.79285714,24.15810662819253
seed2,19,200095890.86666667,8000648.742857144,192095242.12380952,25.009958229363487
seed2,20,210391828.01666668,9397619.142857144,200994208.87380955,22.387779800225186
seed2,21,231884626.96666673,11614396.414285718,220270230.552381,19.965275740153697
seed2,22,247696191.4,12843574.371428575,234852617.02857143,19.285611951686707
seed2,23,285778650.68333334,15009803.442857146,270768847.2404762,19.039466557393826
seed2,24,297980485.20000005,16610870.785714293,281369614.4142858,17.938884062373763
seed2,25,314311657.6,18160441.11428572,296151216.4857143,17.307490254339147
seed2,26,341395971.8833334,20942606.78571429,320453365.0976191,16.30150321669659
seed2,27,403396778.53333336,24543283.885714293,378853494.64761907,16.43613708791981
seed2,28,440641903.09999996,26220428.700000007,414421474.4,16.805289804434047
seed2,29,509888438.61666673,28778858.271428578,481109580.34523815,17.71746584967479
seed2,30,616057386.9000001,33456003.08571429,582601383.8142858,18.413956542318008
