round_number,n_si,share_agents_with_positive_enforcement,mean_cost_among_spenders,corr_prop_vs_enforcement_cost,top_quartile_prop_share_of_cost,total_enforcement_tokens
1,12,1.0,2798.25,-0.18634696646202656,0.06760177491884808,33579.0
2,12,1.0,519.1666666666666,0.28900743834583653,0.5104333868378812,6230.0
3,12,1.0,803.75,0.16155531434411172,0.30927941938828407,9645.0
4,12,1.0,723.0,-0.32337896401771227,0.0024204702627939143,8676.0
5,12,1.0,174.58333333333334,-0.2473807573578316,0.011455847255369928,2095.0
6,12,1.0,1118.8333333333333,0.006683684998306088,0.2359600774616416,13426.0
7,12,1.0,4090.3333333333335,0.8947197459984745,0.7315214733925516,49084.0
8,12,1.0,96201.75,-0.21297344490464684,0.00010654691832529034,1154421.0
9,12,1.0,989.1666666666666,-0.31287248628583664,0.23689974726200505,11870.0
10,12,1.0,320.9166666666667,0.10959188564304631,0.5258374448195274,3851.0
11,12,1.0,428.75,-0.044079642444397986,0.49970845481049564,5145.0
12,12,1.0,511.0,0.16007908412657515,0.06343770384866275,6132.0
13,12,1.0,1591.75,-0.0949359951590087,0.5239516255693419,19101.0
14,12,1.0,2722.25,0.19994884886890654,0.42703645881164476,32667.0
15,12,1.0,2366.9166666666665,0.5280755225920832,0.6621131570608738,28403.0
16,12,1.0,461.75,0.9544732960498631,0.9048908139325031,5541.0
17,12,1.0,1076.8333333333333,-0.10778821197551806,0.022132796780684104,12922.0
18,12,1.0,1105.75,-0.03499772349174997,0.00731027206270254,13269.0
19,12,1.0,376.8333333333333,-0.08378501559987975,0.1059265811587793,4522.0
20,12,1.0,1482.75,0.8302325003521143,0.9840948687686168,17793.0
21,12,1.0,5940.25,-0.27509149038766034,0.07036740877909178,71283.0
22,12,1.0,11966.166666666666,-0.29523045679727067,0.03495967798097414,143594.0
23,12,1.0,1280.9166666666667,-0.21432262036250005,0.19120421573092186,15371.0
24,12,1.0,582.75,-0.09523293606763714,0.013442013442013442,6993.0
25,12,1.0,58.833333333333336,-0.33239904298165873,0.031161473087818695,706.0
26,12,1.0,577.9166666666666,0.006339573643583435,0.9238644556596972,6935.0
27,12,1.0,620.75,-0.10186014090523315,0.7215733655524231,7449.0
28,12,1.0,315.9166666666667,0.5197266069340334,0.8591400685834872,3791.0
29,12,1.0,556.75,0.07540581097628793,0.6069450681035773,6681.0
30,12,1.0,638.8333333333334,-0.20418670402154965,0.007826767545003914,7666.0
