run,source_file,round_number,si_members,sfi_members,si_population,sfi_population,si_total_contribution,sfi_total_contribution,si_avg_contribution,sfi_avg_contribution,cooperation_rate,gini_wealth
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,30670560.0,3155610.0,2555880.0,225400.7142857143,0.3491525183084075,0.5331772523806135
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,21323933.0,2204414.0,1776994.4166666667,157458.14285714287,0.3799480687706812,0.5525752607008183
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,37804583.0,2069920.0,3150381.9166666665,147851.42857142858,0.44771724965708287,0.5320596792661849
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,46164053.0,3720414.0,3847004.4166666665,265743.85714285716,0.4941807676950537,0.5397151905574737
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,49131511.0,6838915.0,4094292.5833333335,488493.9285714286,0.4531478548383711,0.523246147151875
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,6,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,57399502.0,5796232.0,4783291.833333333,414016.5714285714,0.3826732856112737,0.5423342661562518
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,7,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,92348006.0,5885275.0,7695667.166666667,420376.78571428574,0.39915067472978033,0.5442672608141426
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,8,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,158197570.0,8489341.0,13183130.833333334,606381.5,0.43573170164364133,0.535015016489991
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,9,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,181441143.0,7325419.0,15120095.25,523244.21428571426,0.35399696765078914,0.5427099873590897
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,10,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,206085558.0,5391785.0,17173796.5,385127.5,0.29251521644839085,0.5480738410147654
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,11,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,221436270.0,11906082.0,18453022.5,850434.4285714285,0.4712895037576057,0.5590269137447597
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,12,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,237592893.0,15439402.0,19799407.75,1102814.4285714286,0.41791487895093127,0.5395062601373775
