corpus,n_blocks,n_agents,n_rounds,total_tokens,mean_block_chars,mean_block_tokens,missing_empty_text
SI_all,2166,12,30,16649,86.95521698984302,7.686518928901201,0
SFI_all,1684,14,30,11589,76.55997624703087,6.881828978622328,0
SI_contribution,360,12,30,3930,126.09166666666667,10.916666666666666,0
SFI_contribution,420,14,30,4646,120.95952380952382,11.061904761904762,0
SI_proposal_reason,6,5,5,81,159.33333333333334,13.5,0
SFI_proposal_reason,4,3,3,61,173.75,15.25,0
SI_post_shock,48,12,4,539,129.16666666666666,11.229166666666666,0
SFI_post_shock,56,14,4,591,114.17857142857143,10.553571428571429,0
SI_post_gossip,29,12,20,317,123.0,10.931034482758621,0
SFI_post_gossip,85,14,26,914,114.31764705882352,10.75294117647059,0
SI_post_badrep,48,12,24,543,131.625,11.3125,0
SFI_post_badrep,98,14,26,1064,115.44897959183673,10.857142857142858,0
SI_shared_kinds,1440,12,30,9770,74.94305555555556,6.784722222222222,0
SFI_shared_kinds,1680,14,30,11528,76.32857142857142,6.8619047619047615,0
