term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
maintain,57,12,1.73672217891062,5.470032380903789
self-interest,56,4,2.817439723771977,5.450189599407384
strategy,81,31,1.1416028106860168,5.406141944330924
payoff,133,84,0.6428759383246891,4.613015679091378
average,61,26,1.0298008566966264,4.397586572551241
cumulative,107,67,0.6483668193453882,4.1620106793563
significant,66,34,0.8399560053185731,3.979433912847497
group,66,34,0.8399560053185731,3.979433912847497
maximize,75,43,0.7333710591290101,3.834336876136661
credibility,40,1,3.8564076744845694,3.8276310859284655
previous,96,63,0.5994473422144306,3.697329356722244
between,29,9,1.341990600026632,3.518679229903821
emissions,30,13,1.0078912618417775,3.0363380568006275
mcpr,62,45,0.4937956312935956,2.5217390410320983
similar,14,4,1.420907856736517,2.508879346130866
historical,19,8,1.0346171758998004,2.456090289566715
beliefs,31,18,0.7146387305569988,2.4121684655248217
internal,31,18,0.7146387305569988,2.4121684655248217
follow,12,3,1.55343241001128,2.4099728333322568
consistency,13,4,1.3465996985831463,2.357596996893449
contributors,11,3,1.4662417644008974,2.254283261116847
higher,9,1,2.3576832298513013,2.2468530842826597
following,27,16,0.6936571011652184,2.199214507069695
above,8,1,2.2397841539233907,2.1211913328306182
align,10,3,1.3707675117285225,2.085252243781087
slightly,8,2,1.551384624736766,1.9665269792079505
others,9,3,1.265263159711762,1.9005280005131222
contribution,363,378,0.1387608704401515,1.8882652010998469
peer,14,7,0.8617154271915819,1.8626256913468269
given,49,39,0.3995410746117809,1.8620917572655786
possible,6,1,1.9520088052479396,1.8151442289524662
enough,6,1,1.9520088052479396,1.8151442289524662
rounds,34,25,0.4778915350239341,1.8142197777592193
data,37,28,0.4492599239456663,1.793867218824059
considering,70,61,0.3095726076530365,1.7675604652335957
maximizing,46,38,0.36178911826650406,1.6505900129259157
maximizes,14,8,0.7281469511239953,1.6437876142092687
billion,9,4,0.9781967665767208,1.629503556254865
self-interested,5,1,1.7697654009771666,1.622545949362232
wealth,10,5,0.8608411679036649,1.57298276224262
high,136,135,0.18032351820167314,1.4842945422521154
requires,36,30,0.35220995249972376,1.4249788622701025
support,4,1,1.5468662211682487,1.3894207182089784
benefit,4,1,1.5468662211682487,1.3894207182089784
achieve,4,1,1.5468662211682487,1.3894207182089784
allows,4,1,1.5468662211682487,1.3894207182089784
reduction,16,11,0.5433397774174971,1.3877721047788363
observed,9,5,0.7553368158869045,1.3553389045271078
unit,36,31,0.3192143901979545,1.3029948319740206
per,36,31,0.3192143901979545,1.3029948319740206
previous-round,5,2,1.0813658717905419,1.295152757622691
interests,11,7,0.6199829417209219,1.283083781983792
future,14,10,0.5048221475472943,1.219798246928387
peers,17,13,0.43683735060392515,1.186056083951253
current,23,19,0.35995620119190086,1.1613710702581597
avoid,7,4,0.7266899301159775,1.1606186371657081
potential,8,5,0.6374377399589939,1.1190961495507732
action,3,1,1.2597606173367737,1.0955165313415338
reduce,3,1,1.2597606173367737,1.0955165313415338
