term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
follow strategy,207,94,0.9719441447296973,7.814952111824405
contributors follow,82,24,1.4028507284494864,6.045706337288584
peers strategy,52,13,1.5576924159721912,5.025048965726458
contribution peers,97,54,0.7588884263689444,4.4699847092837555
high contribution,174,125,0.5060757029115432,4.316431463116383
following strategy,38,2,3.1111190434430966,4.2985803648185685
mostly following,35,2,3.028542613119586,4.175510360999849
cumulative payoff,107,67,0.641210906348876,4.116075283800281
group average,56,25,0.9774929287534526,4.064500086587171
previous group,28,6,1.7089333511926306,3.801471695639215
maximize cumulative,59,30,0.8472683531301772,3.778966092585904
cooperate considering,23,2,2.607395553996554,3.5450274797147334
balance between,27,9,1.2672441817804767,3.293920698648987
maintain credibility,22,1,3.2511292034699837,3.1948632790883673
payoff contribute,30,12,1.0852192908089204,3.1782933742896406
peers follow,168,140,0.35539184783029754,3.1057400101271675
significant amount,51,30,0.700618624725319,3.0454131463315823
contribute significant,34,16,0.9229443067382768,3.0451075313001064
institution strategy,63,42,0.5757398773290809,2.89048942302679
amount maintain,18,5,1.4481881635592817,2.8671344119088356
selfish-institutional strategy,13,2,2.03598467250894,2.686434244326548
reward low,20,8,1.0841741597487982,2.593013566389226
follow selfish-institutional,13,3,1.6320779469336246,2.551711299238023
average maintain,11,1,2.557116199335863,2.4595325587897836
maintain consistency,11,1,2.557116199335863,2.4595325587897836
amount maximize,15,5,1.265617633884176,2.452899133011773
internal beliefs,31,18,0.7123220637238035,2.404348863198195
considering previous,10,1,2.461776922897589,2.3579556079690995
strategy contribute,10,2,1.7734911730688658,2.2945200916178408
payoff considering,10,2,1.7734911730688658,2.2945200916178408
contributors reward,41,28,0.5503809088406886,2.2453152321890606
sfi penalized,9,2,1.6681217467100193,2.1384414854648477
significant contribution,9,2,1.6681217467100193,2.1384414854648477
reward higher,13,5,1.1223793419944421,2.1346161091429026
slightly above,8,1,2.238643295722201,2.1201108811611515
historical emissions,7,1,2.1051703597838243,1.977970264323282
following institution,8,2,1.550357545893478,1.9652250594758
contribution current,12,5,1.0422807377630594,1.959725756114233
higher payoffs,12,5,1.0422807377630594,1.959725756114233
maintain cooperate,13,6,0.9402891088222542,1.9064790347785445
contributors penalized,9,3,1.2642150211347039,1.898953611265457
previous data,19,11,0.7143696068028245,1.8862634215105538
maximizes payoff,10,4,1.082631905773649,1.8318758617440434
contributors use,10,4,1.082631905773649,1.8318758617440434
payoff contribution,6,1,1.9511375457483444,1.8143340575801044
above previous,6,1,1.9511375457483444,1.8143340575801044
between contribution,6,1,1.9511375457483444,1.8143340575801044
standard institution,6,1,1.9511375457483444,1.8143340575801044
strategy contribution,6,1,1.9511375457483444,1.8143340575801044
given institution,22,14,0.6199897100166538,1.8140185184019249
data internal,11,5,0.955225118992642,1.7725030896203524
cooperate institution,7,2,1.4168846099551011,1.770876407068849
contribution choose,18,11,0.660211575304471,1.7257780711778474
use strategy,12,6,0.8601905045908715,1.7215751711680616
high payoffs,8,3,1.1464508203181634,1.6957590283965367
current mcpr,8,3,1.1464508203181634,1.6957590283965367
high marginal,35,27,0.4279328574393535,1.6709678738097287
maximizing cumulative,39,31,0.3980892183157483,1.6546579129755663
average previous,14,8,0.7269932960070502,1.6411832443229755
considering past,9,4,0.9772624794148026,1.6279471983676508
similar previous,5,1,1.7690288651269723,1.6218706828779665
contribution maintain,5,1,1.7690288651269723,1.6218706828779665
beliefs previous,5,1,1.7690288651269723,1.6218706828779665
previous rounds,24,17,0.5128688688313208,1.6182914775006092
average contribution,17,11,0.6029658027449738,1.5588503779651233
high-contributors mostly,17,11,0.6029658027449738,1.5588503779651233
cooperate strategy,6,2,1.2628517959196213,1.5498885388944692
little nothing,6,2,1.2628517959196213,1.5498885388944692
