term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
contributors follow strategy,74,12,1.9974717238298396,6.42092543939064
contribution peers strategy,48,9,1.8486634867849805,5.091813702778042
high contribution peers,90,45,0.8703498941136267,4.767544070709863
maximize cumulative payoff,59,30,0.850801100514591,3.794722768177586
mostly following strategy,27,2,2.771466233167752,3.7907156511076687
previous group average,27,6,1.6756885118326217,3.7153889564112372
peers follow strategy,114,80,0.5306679462933044,3.638674555367075
contributors mostly following,29,1,3.5314959287347607,3.48889514389911
cumulative payoff contribute,29,11,1.141422774198512,3.2245975173609995
contribute significant amount,34,16,0.9261422100741221,3.055658503294036
contributors reward low,20,6,1.3746991982320438,2.9553900958968176
reward low contributors,20,6,1.3746991982320438,2.9553900958968176
contribution balance between,17,4,1.6167114575756987,2.912329460239205
amount maintain credibility,14,1,2.8014538319903455,2.7191192713433874
follow selfish-institutional strategy,13,2,2.038949796855009,2.6903466566789214
payoff contribute significant,13,3,1.6350225387467345,2.5563150917316797
group average maintain,11,1,2.560052416567994,2.4623567252801375
peers follow selfish-institutional,11,2,1.8717461387898489,2.440243372725375
others contribute little,10,1,2.4646884324057785,2.3607443294444845
high contributors reward,41,28,0.5535055415585841,2.2580623775274864
payoff contribute moderate,12,4,1.2679261348756228,2.19839834219767
cumulative payoff considering,8,1,2.24150540938498,2.1228214506972507
significant amount maintain,7,1,2.108007785319935,1.9806362449227024
contribution current mcpr,8,2,1.553199131606835,1.9688270385594826
contribution choose moderate,8,2,1.553199131606835,1.9688270385594826
moderate amount maintain,8,2,1.553199131606835,1.9688270385594826
reward higher payoffs,12,5,1.0451595299516931,1.9651385427024934
low contributors penalized,9,3,1.2670607689715938,1.9032281555805235
average maintain cooperate,6,1,1.9539502896850154,1.8169495867265115
contributors sfi penalized,6,1,1.9539502896850154,1.8169495867265115
unit contribution choose,6,1,1.9539502896850154,1.8169495867265115
contribute little nothing,6,1,1.9539502896850154,1.8169495867265115
slightly above previous,6,1,1.9539502896850154,1.8169495867265115
cooperate considering past,6,1,1.9539502896850154,1.8169495867265115
above previous group,6,1,1.9539502896850154,1.8169495867265115
balance between contribution,6,1,1.9539502896850154,1.8169495867265115
choose contribute significant,11,5,0.9580791969197104,1.7777990788517506
data internal beliefs,11,5,0.9580791969197104,1.7777990788517506
high marginal return,35,27,0.4309288069899537,1.6826662871556053
maximizing cumulative payoff,39,31,0.4011020770467528,1.667180860874095
contribution others contribute,5,1,1.7718169339888368,1.6244268238421098
internal beliefs previous,5,1,1.7718169339888368,1.6244268238421098
beliefs previous data,5,1,1.7718169339888368,1.6244268238421098
high-contributors mostly following,5,1,1.7718169339888368,1.6244268238421098
group average contribution,15,9,0.6811835782768423,1.616331399095184
cumulative payoff requires,34,27,0.40180454053361814,1.558993650998893
marginal return per,36,29,0.38755890787141745,1.5534585363627522
allowed amount maximize,6,2,1.2656440119068701,1.5533154046365443
amount maximize cumulative,6,2,1.2656440119068701,1.5533154046365443
