term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
strategy,465,238,0.8630186011414995,10.82841931021167
follow,276,169,0.6697443556606615,6.857059326625682
following,67,18,1.484616079733673,5.593456630853378
self-interest,59,4,2.8600084018345457,5.541956379756143
maintain,57,12,1.7276798032980345,5.441552242858818
group,80,35,0.9970818426107755,4.920534900751005
payoff,141,89,0.6322503030565798,4.6703626386222705
cumulative,108,67,0.6480512005801167,4.167420001440968
average,61,28,0.9476908972461029,4.152216415800593
significant,71,37,0.8210946673841288,4.050050551721917
credibility,40,1,3.8485783534590565,3.8198601874476736
maximize,75,43,0.7255411217854206,3.793399049206292
previous,96,63,0.5909363790124367,3.6448346138404606
between,30,9,1.3708741809932299,3.6086881848369163
emissions,30,13,1.0031437960253875,3.022036006889684
self-interested,15,1,2.8656007962158982,2.787632160794533
similar,16,4,1.5510990510095883,2.7776360994985696
framework,14,3,1.7043898619611095,2.6828196575047323
penalized,22,9,1.060019814156858,2.6801895114630736
selfish-institutional,14,4,1.4174519648466672,2.5027773207646193
mcpr,62,45,0.48824990647146116,2.493417869461258
reward,54,38,0.5189447072883215,2.451128027370014
historical,19,8,1.0309116052754437,2.4472935904206072
internal,31,18,0.7103825011176177,2.3978021262869365
beliefs,31,18,0.7103825011176177,2.3978021262869365
consistency,13,4,1.3432964530154088,2.351813747544223
higher,22,11,0.8593773680760393,2.3280862108576876
use,22,11,0.8593773680760393,2.3280862108576876
payoffs,25,14,0.7462360480533139,2.236188992924172
peers,323,322,0.17377092336005973,2.20664861365569
peer,21,11,0.8127764593607605,2.1845759009499877
above,8,1,2.236857950470159,2.1184200669511712
players,10,3,1.3677933818658952,2.0807279091172752
align,10,3,1.3677933818658952,2.0807279091172752
others,38,28,0.47213745998862144,1.895990637736715
contribution,562,597,0.11103154604341903,1.8891382719278698
given,49,39,0.39522989058359137,1.8419991541439922
enough,6,1,1.9493871862642385,1.8127064240839719
deviated,6,1,1.9493871862642385,1.8127064240839719
possible,6,1,1.9493871862642385,1.8127064240839719
rounds,34,25,0.47407862143283985,1.7997448127496305
data,37,28,0.44537362688338433,1.778349473903898
deviate,26,18,0.5340408391017668,1.7421136476361625
considering,70,61,0.30486948203284214,1.740707123872722
slightly,8,3,1.1446947560144327,1.6931615668703024
maximizes,14,8,0.7252054316094654,1.6371471505810473
maximizing,46,38,0.35781162877530726,1.6324435179120687
billion,9,4,0.9755035609997158,1.6250171500271964
emerging,5,1,1.7672959926965843,1.6202819609258168
benefit,5,1,1.7672959926965843,1.6202819609258168
wealth,10,5,0.8581240688928702,1.5680179091818693
standard,7,3,1.0112393149038734,1.4674467196579095
requires,36,30,0.34873654837786283,1.410926086592852
setting,4,1,1.5445489692774972,1.3873393243933663
top,4,1,1.5445489692774972,1.3873393243933663
achieve,4,1,1.5445489692774972,1.3873393243933663
allows,4,1,1.5445489692774972,1.3873393243933663
support,4,1,1.5445489692774972,1.3873393243933663
followers,4,1,1.5445489692774972,1.3873393243933663
high-contributing,4,1,1.5445489692774972,1.3873393243933663
reduction,16,11,0.540478988964102,1.380465217673745
high-contributors,22,17,0.4238590306772405,1.3129252060414216
previous-round,5,2,1.0790248819651769,1.2923489522622835
unit,36,31,0.31587053656639696,1.2893456227447777
per,36,31,0.31587053656639696,1.2893456227447777
interests,11,7,0.6173705461463115,1.277677306791741
strategies,6,3,0.857223991808512,1.2139800016784899
selfish,6,3,0.857223991808512,1.2139800016784899
future,14,10,0.5021380474575636,1.213312674534345
avoid,7,4,0.7243014177894302,1.1568038713262416
current,23,19,0.3570561400883072,1.1520142455763174
potential,8,5,0.6350254430414068,1.1148610815232376
experience,3,1,1.2575954675533882,1.0936336677657985
member,3,1,1.2575954675533882,1.0936336677657985
small,3,1,1.2575954675533882,1.0936336677657985
action,3,1,1.2575954675533882,1.0936336677657985
reduce,3,1,1.2575954675533882,1.0936336677657985
prior,3,1,1.2575954675533882,1.0936336677657985
loss,3,1,1.2575954675533882,1.0936336677657985
incentivization,3,1,1.2575954675533882,1.0936336677657985
maintaining,9,6,0.570696562085665,1.083602308285596
developed,364,0,10.705686167716099,1.070553911865708
binding,360,0,10.69421168937879,1.0694063165880767
treaty,360,0,10.69421168937879,1.0694063165880767
allowed,11,8,0.48393072145381666,1.0420483124234574
