corpus,term,tfidf
SI,contribution,0.33915517043647464
SI,developed,0.3087333736921551
SI,treaty,0.30534069925597757
SI,high,0.2836351069486532
SI,strategy,0.28182467009578943
SI,contributors,0.2480298488423329
SI,climate,0.22389069080414964
SI,countries,0.21845938024555842
SI,binding,0.21725242234364925
SI,mode,0.21725242234364925
SI,ldf,0.21725242234364925
SI,defaults,0.21725242234364925
SI,peers,0.19492370115832974
SI,follow,0.167163669414419
SI,institution,0.12793753760237123
SI,contribute,0.11707491648518877
SI,low,0.10078098480941507
SI,amount,0.08750444788841429
SI,payoff,0.08509053208459595
SI,mostly,0.07603834782027724
SI,sfi,0.070607037261686
SI,moderate,0.06879660040882227
SI,cumulative,0.06517572670309478
SI,cooperate,0.06336528985023103
SI,previous,0.0609513740464127
SI,group,0.0482783160763665
SI,return,0.04767483712541192
SI,marginal,0.04707135817445734
SI,self,0.045260921321593595
SI,maximize,0.045260921321593595
SFI,developing,0.2957732242097194
SFI,contribution,0.29452478024430345
SFI,non,0.2909358116642334
SFI,agreement,0.29024475272916395
SFI,high,0.2674816034272138
SFI,contributors,0.2669899093032667
SFI,ldf,0.20749492030566952
SFI,countries,0.20700322618172246
SFI,defaults,0.20651153205777537
SFI,mode,0.20651153205777537
SFI,binding,0.20651153205777537
SFI,climate,0.20651153205777537
SFI,institution,0.18438529648015656
SFI,sfi,0.1588172020349082
SFI,peers,0.15832550791096112
SFI,contribute,0.15734211966306694
SFI,low,0.15635873141517276
SFI,strategy,0.11751489562335313
SFI,needs,0.10642307600069344
SFI,cooperate,0.09145510705415766
SFI,resilience,0.08845554368888804
SFI,mostly,0.08604647169073973
SFI,follow,0.08309630694705723
SFI,moderate,0.0776876715836393
SFI,immediate,0.07621258921179805
SFI,incentives,0.07621258921179805
SFI,amount,0.07572089508785096
SFI,long,0.07178734209627428
SFI,run,0.07178734209627428
SFI,return,0.062445153741279694
