run,source_file,round_number,agent_id,agent_group,institution_choice,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,4088408.0,-27745.0,4060663.0,7750663.0,7750663.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,1,developing,SFI,350641.14285714284,0.0,350641.14285714284,469441.14285714284,469441.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,2,developing,SFI,340641.14285714284,0.0,340641.14285714284,748431.1428571428,748431.1428571428
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,3,developing,SFI,-139358.85714285716,0.0,-139358.85714285716,970641.1428571428,970641.1428571428
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,-15910592.0,18000.0,-15891867.0,12858133.0,12858133.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,5,developing,SFI,358641.14285714284,0.0,358641.14285714284,402821.14285714284,402821.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,2509408.0,-12.0,2509396.0,5669396.0,5669396.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,2339408.0,-256.0,2339152.0,4099152.0,4099152.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,8,developing,SFI,350641.14285714284,0.0,350641.14285714284,514341.14285714284,514341.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,9,developing,SFI,-172058.85714285716,0.0,-172058.85714285716,360641.14285714284,360641.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,10,developing,SFI,360141.14285714284,0.0,360141.14285714284,723641.1428571428,723641.1428571428
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,11,developing,SFI,359641.14285714284,0.0,359641.14285714284,361761.14285714284,361761.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,12,developing,SFI,350641.14285714284,0.0,350641.14285714284,728341.1428571428,728341.1428571428
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,13,developing,SFI,-1639358.8571428573,0.0,-1639358.8571428573,690641.1428571427,690641.1428571427
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,4089408.0,-9362.0,4080046.0,4689206.0,4689206.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,15,developing,SFI,350641.14285714284,0.0,350641.14285714284,730701.1428571428,730701.1428571428
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,16,developing,SFI,360341.14285714284,0.0,360341.14285714284,366941.14285714284,366941.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,17,developing,SFI,335231.14285714284,0.0,335231.14285714284,360641.14285714284,360641.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,18,developed,SI,2889408.0,-14.0,2889394.0,5129394.0,5129394.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,19,developed,SI,4089408.0,-8465.0,4080943.0,5290943.0,5290943.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,20,developed,SI,3152848.0,-3.0,3152845.0,4089405.0,4089405.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,21,developed,SI,2889408.0,-10.0,2889398.0,5269398.0,5269398.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,22,developed,SI,4086408.0,-3.0,4086405.0,4690125.0,4690125.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,23,developing,SFI,326941.14285714284,0.0,326941.14285714284,360641.14285714284,360641.14285714284
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,24,developed,SI,89408.0,6307.0,96440.0,4126440.0,4126440.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,25,developed,SI,4089408.0,-7469.0,4081939.0,8771939.0,8771939.0
