agent_id,institution_choice,event_family,first_delta_prop,repeat_mean_delta_prop,n_repeat
0,SI,gossip_target,-2.021366314129083,0.31663331781175075,1
0,SI,bad_rep,-0.0822365400302531,-0.8523664981586663,2
0,SI,rep_drop,-0.0822365400302531,-0.8523664981586663,2
1,SFI,gossip_target,-0.039089622019576165,-0.25116178995361965,3
1,SFI,bad_rep,-0.039089622019576165,-0.25116178995361965,3
1,SFI,rep_drop,0.3669813885074263,-0.08610565510873243,7
2,SFI,gossip_target,-4.228752153161364,0.04124112721413519,12
2,SFI,bad_rep,-4.228752153161364,0.04124112721413519,12
2,SFI,rep_drop,-4.228752153161364,0.014868751254050933,6
3,SFI,gossip_target,0.0560435507707813,2.233488497774854,1
3,SFI,bad_rep,0.0560435507707813,0.8395691679707151,3
3,SFI,rep_drop,0.0560435507707813,-0.09544474304933391,8
4,SI,gossip_target,-1.120569058656947,3.7064626296085086,1
4,SI,bad_rep,-1.120569058656947,1.8020976770944215,3
4,SI,rep_drop,-1.120569058656947,1.1300283672550733,5
5,SFI,gossip_target,-1.0287422676205942,-0.21139187529139505,11
5,SFI,bad_rep,-1.0287422676205942,-0.23084946244487736,10
5,SFI,rep_drop,-1.0287422676205942,-0.3248793417991904,7
6,SI,gossip_target,-0.03745971934973699,-0.2948397290785041,3
6,SI,bad_rep,-0.03745971934973699,-0.2948397290785041,3
6,SI,rep_drop,-0.03745971934973699,-0.2677778309531954,5
7,SI,gossip_target,-0.29377576066114297,,0
7,SI,bad_rep,-0.29377576066114297,-0.0807951094122607,1
7,SI,rep_drop,-0.29377576066114297,0.12648509331059793,4
8,SFI,gossip_target,0.4180780642040114,-0.08949425841967394,2
8,SFI,bad_rep,0.4180780642040114,-0.051555927283280324,3
8,SFI,rep_drop,0.4180780642040114,-0.051555927283280324,3
9,SFI,gossip_target,0.03076248586917041,-0.337395090641688,6
9,SFI,bad_rep,0.03076248586917041,-0.30455889786630724,7
9,SFI,rep_drop,-0.2965921728817132,-0.03583982139425894,7
10,SFI,gossip_target,2.850806011582569,-0.6832276035808403,4
10,SFI,bad_rep,2.850806011582569,-0.6832276035808403,4
10,SFI,rep_drop,2.850806011582569,-0.08443469182561013,4
11,SFI,gossip_target,0.0,-0.21665437430261406,8
11,SFI,bad_rep,0.0,-0.21665437430261406,8
11,SFI,rep_drop,-0.05803520875402629,-0.5406727870803266,5
12,SFI,gossip_target,0.13958381870418002,0.014874447446553113,7
12,SFI,bad_rep,-1.4240079922938316,0.04870657769628777,9
12,SFI,rep_drop,-1.4240079922938316,0.02672254372646367,8
13,SFI,gossip_target,-0.17329733319520796,0.5986493336387961,2
13,SFI,bad_rep,-0.3714698695122119,0.3413337780274614,3
13,SFI,rep_drop,1.8673255447154347,-0.05224870858320848,6
14,SI,gossip_target,0.05582371782146589,0.138743527564116,2
14,SI,bad_rep,0.05582371782146589,0.06835069668987186,3
14,SI,rep_drop,0.05582371782146589,0.24041562766344432,4
15,SFI,gossip_target,-0.2117776702350599,0.07473493279654557,6
15,SFI,bad_rep,-0.2117776702350599,0.07473493279654557,6
15,SFI,rep_drop,-0.2117776702350599,-0.12187989993656304,5
16,SFI,gossip_target,0.0,0.12939202013819892,6
16,SFI,bad_rep,0.0,0.2262649454366282,11
16,SFI,rep_drop,0.0,0.28254485619333747,8
17,SFI,gossip_target,-0.012923928629554604,,0
17,SFI,bad_rep,0.09394172382371221,-0.012923928629554604,1
17,SFI,rep_drop,0.1241573592253934,0.05787826352013973,4
18,SI,gossip_target,-0.0906564196044142,,0
18,SI,bad_rep,-0.0906564196044142,-0.002309277464724195,1
18,SI,rep_drop,0.056116526915294895,-0.0464828485345692,2
19,SI,gossip_target,-0.3262436208361404,0.05517700764502924,5
19,SI,bad_rep,-0.3262436208361404,-0.18173982861443425,6
19,SI,rep_drop,-0.3262436208361404,-0.20677936675540903,5
20,SI,gossip_target,0.0589785565091609,,0
20,SI,bad_rep,-0.0504310238296395,0.0589785565091609,1
20,SI,rep_drop,0.0504310238296395,0.0042737663397607005,2
21,SI,gossip_target,-0.1233064741733438,3.3719423394768797,1
21,SI,bad_rep,-0.715470656015786,0.8020389058426455,4
21,SI,rep_drop,-0.715470656015786,0.8020389058426455,4
22,SI,gossip_target,0.4402757531574969,0.0,2
22,SI,bad_rep,0.630121578565586,0.07429998970556873,6
22,SI,rep_drop,0.630121578565586,0.08844040408581222,7
23,SFI,gossip_target,-0.5497646143534743,0.030995450568182797,3
23,SFI,bad_rep,-0.028472611380872787,-0.11419456566223152,4
23,SFI,rep_drop,-0.028472611380872787,0.6430448214890064,8
24,SI,gossip_target,-0.04983053494414391,,0
24,SI,bad_rep,-0.18356961605864797,-0.8141434436365054,3
24,SI,rep_drop,-0.18356961605864797,-0.7847125759800413,4
25,SI,gossip_target,2.0111123421397763,-0.07195662453285079,2
25,SI,bad_rep,2.0111123421397763,-0.09343095363649943,3
25,SI,rep_drop,2.0111123421397763,-0.09343095363649943,3
