run,source_file,round_number,agent_id,agent_group,institution_choice,contribution,wealth_end_of_round,contribution_capacity,stage1_cap_from_end_wealth,prop_of_wealth,prop_of_capacity,prop_of_stage1_cap,note,reputation,reputation_delta,tom_scores_count,in_gossip_bulletin,bad_rep,rep_drop,bad_rep_prev,rep_drop_prev,gossip_prev,prop
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,0,developed,SI,1000.0,7750663.0,1.0,7750663.0,0.0001290212205072,1000.0,0.0001290212205072,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,,0,0,0,0,0,0,0,0.0001290212205072
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,0,developed,SI,1000.0,10592194.066666666,1.0,10592194.0,9.440914636817046e-05,1000.0,9.440914696237624e-05,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,0.0,25,0,0,0,0,0,0,9.440914636817046e-05
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,0,developed,SI,2000000.0,13627851.133333333,1.0,13627851.0,0.1467582805559166,2000000.0,0.1467582819917828,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,0.0,25,0,0,0,0,0,0,0.1467582805559166
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,0,developed,SI,0.0,19775739.2,1.0,19775739.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,0.0,25,0,0,0,0,0,0,0.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,0,developed,SI,2000000.0,24320089.33333333,1.0,24320089.0,0.0822365400302531,2000000.0,0.0822365411573946,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),1.36,-3.64,25,0,1,1,0,0,0,0.0822365400302531
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,6,0,developed,SI,0.0,31966882.266666666,1.0,31966882.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,3.64,25,0,0,0,1,1,0,0.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,7,0,developed,SI,31966882.0,12281276.733333334,1.0,12281276.0,2.6028956674542485,31966882.0,2.6028958228770365,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),1.0,-4.0,25,1,1,1,0,0,0,2.6028956674542485
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,8,0,developed,SI,12281276.0,21118927.066666663,1.0,21118927.0,0.5815293533251654,12281276.0,0.5815293551608943,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),4.84,3.84,25,0,0,0,1,1,1,0.5815293533251654
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,9,0,developed,SI,10559546.0,34747621.46666667,1.0,34747621.0,0.3038926278775585,10559546.0,0.3038926319588901,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,0.1600000000000001,25,0,0,0,0,0,0,0.3038926278775585
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,10,0,developed,SI,13500000.0,48714218.86666668,1.0,48714218.0,0.277126479990374,13500000.0,0.2771264849206858,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,0.0,25,0,0,0,0,0,0,0.277126479990374
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,11,0,developed,SI,48714218.0,29525226.866666675,1.0,29525226.0,1.6499184991867843,48714218.0,1.6499185476175526,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,0.0,25,0,0,0,0,0,0,1.6499184991867843
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,12,0,developed,SI,0.0,61198656.26666668,1.0,61198656.0,0.0,0.0,0.0,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.16,0.1600000000000001,25,0,0,0,0,0,0,0.0
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,13,0,developed,SI,13500000.0,78737685.40000002,1.0,78737685.0,0.1714553829137577,13500000.0,0.1714553837847785,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),1.0,-4.16,25,1,1,1,0,0,0,0.1714553829137577
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,14,0,developed,SI,38768783.0,79429790.00000003,1.0,79429790.0,0.4880887007255085,38768783.0,0.4880887007255086,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,4.0,25,0,0,0,1,1,1,0.4880887007255085
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,15,0,developed,SI,38768783.0,91986136.53333336,1.0,91986136.0,0.4214633254648238,38768783.0,0.4214633279084578,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.84,0.8399999999999999,25,0,0,0,0,0,0,0.4214633254648238
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,16,0,developed,SI,91986136.0,51930845.200000025,1.0,51930845.0,1.7713198320908503,91986136.0,1.7713198389126923,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),5.0,-0.8399999999999999,25,0,0,0,0,0,0,1.7713198320908503
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,17,0,developed,SI,38768783.0,87267762.06666669,1.0,87267762.0,0.4442509133027069,38768783.0,0.4442509136420847,proportional columns are analyst-derived; stage1_cap uses end-of-round wealth (approx),4.84,-0.1600000000000001,25,0,0,0,0,0,0,0.4442509133027069
