round_number,total_punishment_tokens,total_reward_tokens,n_punish_edges,n_reward_edges
1,7258.0,26321.0,34,9
2,4146.0,2084.0,26,22
3,6735.0,2910.0,36,28
4,5657.0,3019.0,25,25
5,1554.0,541.0,24,21
6,9541.0,3885.0,31,29
7,17733.0,31351.0,31,33
8,644488.0,509933.0,29,25
9,7330.0,4540.0,28,24
10,2551.0,1300.0,26,30
11,3529.0,1616.0,38,28
12,4263.0,1869.0,26,32
13,7539.0,11562.0,24,31
14,19877.0,12790.0,40,33
15,23879.0,4524.0,42,33
16,3908.0,1633.0,27,24
17,10362.0,2560.0,36,26
18,9456.0,3813.0,29,31
19,3378.0,1144.0,28,28
20,12622.0,5171.0,26,29
21,51637.0,19646.0,33,26
22,65069.0,78525.0,22,19
23,9295.0,6076.0,31,27
24,3795.0,3198.0,29,20
25,302.0,404.0,36,24
26,5231.0,1704.0,36,26
27,4707.0,2742.0,35,27
28,2184.0,1607.0,38,36
29,4718.0,1963.0,31,29
30,5306.0,2360.0,29,23
