shock_round,window,rounds,institution_choice,n_agent_rounds,n_agents,mean_prop_wealth,median_prop_wealth,std_prop_wealth,iqr_prop_wealth,zero_share,mean_contribution,median_contribution,std_contribution
5,pre,"2,3,4",SI,36,12,0.42125530497625463,0.3328477269074698,0.4674583555282597,0.49433381081381045,0.19444444444444445,2924793.5833333335,2526868.5,3041194.733992569
5,during,5,SI,12,12,0.3710405065003457,0.21182730751494594,0.36805464701547785,0.40774642718786597,0.16666666666666666,4094292.5833333335,3500000.0,3191251.3493145443
5,post_immediate,6,SI,12,12,0.38872109650987546,0.32072282212377035,0.3523342866487417,0.2870561832922906,0.16666666666666666,4783291.833333333,4193773.5,3187036.4521031086
5,post_later,"7,8",SI,24,12,0.527392697571512,0.41168074683224676,0.5552446261842923,0.49025372128281863,0.16666666666666666,10439399.0,10000000.0,8658557.936407614
5,post_wide,"6,7,8,9",SI,48,12,0.4746526193392266,0.3750344313283823,0.4478956218708101,0.4644227341462192,0.14583333333333334,10195546.270833334,10000000.0,7952226.893221427
5,pre,"2,3,4",SFI,42,14,0.45720914603239493,0.11533031581643159,0.8858808426943026,0.42987464070018894,0.35714285714285715,190351.14285714287,100000.0,291319.66398606653
5,during,5,SFI,14,14,0.5235250353937558,0.2624072996135448,0.6571455497998505,0.3666379283053552,0.14285714285714285,488493.9285714286,292115.5,508224.19341822946
5,post_immediate,6,SFI,14,14,0.3774892728499698,0.3317632234653553,0.3937343708182959,0.2635114478429269,0.07142857142857142,414016.5714285714,500000.0,272362.7493776846
5,post_later,"7,8",SFI,28,14,0.32319691753215907,0.30234090469858904,0.2664329980057002,0.4457124765784866,0.17857142857142858,513379.14285714284,500000.0,378243.204470813
5,post_wide,"6,7,8,9",SFI,56,14,0.3228042124913039,0.2901895110956936,0.28893797358421,0.39137558870207395,0.125,491004.76785714284,500000.0,345917.6635417473
5,pre,"2,3,4",ALL,78,26,0.44061506554494556,0.210554406462869,0.7193913701023196,0.484761320146348,0.28205128205128205,1452401.5,200000.0,2476203.663299537
5,during,5,ALL,26,26,0.45314756051987426,0.25161139907671815,0.5386750663463536,0.38703791768926454,0.15384615384615385,2152708.6923076925,757170.5,2824140.6318242406
5,post_immediate,6,ALL,26,26,0.3826731914622339,0.3317632234653553,0.36778781409910627,0.30012507362280805,0.11538461538461539,2430605.153846154,510590.0,3072770.7521646284
5,post_later,"7,8",ALL,52,26,0.4174411237041682,0.3878080199373335,0.43264571082317177,0.472624464170142,0.17307692307692307,5094619.076923077,1000000.0,7671496.288883571
5,post_wide,"6,7,8,9",ALL,104,26,0.39288809257496055,0.3365881376077504,0.3767043516667526,0.3916259408500997,0.1346153846153846,4970023.923076923,1000000.0,7249308.949292871
10,pre,"7,8,9",SI,36,12,0.5032964602823438,0.3961261864664165,0.4764455108822736,0.4617276047429468,0.1388888888888889,11999631.083333334,10381124.0,8266581.096754561
10,during,10,SI,12,12,0.3926083338401161,0.3286006245803731,0.1817998854763532,0.24442457477992618,0.0,17173796.5,15292779.0,4187515.8994587385
10,post_immediate,11,SI,12,12,0.39900329203803103,0.2571790679034744,0.42505534843427795,0.1642627244492375,0.0,18453022.5,17098686.5,11051509.92511532
10,post_later,"12,13",SI,24,12,0.2830740839572256,0.293716424725032,0.16571777468366186,0.1982520307180113,0.16666666666666666,19600813.291666668,25000000.0,10315447.66289453
10,post_wide,"11,12,13,14",SI,48,12,0.30890522512944285,0.2807750443911857,0.2499815141380643,0.1957000700954342,0.08333333333333333,20579133.458333332,20500000.0,10690121.9903618
10,pre,"7,8,9",SFI,42,14,0.30457585903841533,0.2616008567488092,0.247943430695195,0.4154479248301525,0.14285714285714285,516667.5,500000.0,366467.8748471519
10,during,10,SFI,14,14,0.20672105931056423,0.13878583473038034,0.23306419739599352,0.30968494451709094,0.35714285714285715,385127.5,350000.0,395502.06182769965
10,post_immediate,11,SFI,14,14,0.533248924262199,0.09628008887427746,0.9873371396059484,0.483881797214906,0.35714285714285715,850434.4285714285,321893.0,1324815.1601958964
10,post_later,"12,13",SFI,28,14,0.5098927988884936,0.2387041946467544,0.8041265905472904,0.4351790442024036,0.21428571428571427,1203039.9285714286,950945.0,1497136.6505331765
10,post_wide,"11,12,13,14",SFI,56,14,0.48413563757836514,0.2080290731739701,0.775592199510448,0.46012562348067393,0.23214285714285715,1109605.482142857,777388.5,1340915.0004846011
10,pre,"7,8,9",ALL,78,26,0.3962930596125361,0.3380572639770614,0.3819128409338298,0.44937891090330684,0.14102564102564102,5816496.846153846,1000000.0,8020512.940496685
10,during,10,ALL,26,26,0.2925151860165113,0.2772728642902472,0.22741870219746046,0.3405772551170224,0.19230769230769232,8133743.961538462,1000000.0,8980349.805374695
10,post_immediate,11,ALL,26,26,0.4712894016971984,0.22243452738902,0.7688092566990441,0.4514208623310097,0.19230769230769232,8974705.846153846,3285904.5,11607628.852794407
10,post_later,"12,13",ALL,52,26,0.4052072381509853,0.283468420035609,0.6064233506254653,0.39108658502536164,0.19230769230769232,9694319.942307692,1593671.5,11616495.158706184
10,post_wide,"11,12,13,14",ALL,104,26,0.4032600626019394,0.2643953962526283,0.5978567633375851,0.40722814102607585,0.16346153846153846,10095541.471153846,2103047.5,12174818.99163721
