round_number,institution_choice,mean,median,std,count
1,SFI,0.3682926710749517,0.02037213697747015,0.8297290943958092,14
1,SI,0.3268222275386915,0.22837554553468326,0.47637382713795445,12
2,SFI,0.39840767072172906,0.05282933297949405,0.6032544204000092,14
2,SI,0.3584116382163501,0.32671079392585767,0.3139276835634578,12
3,SFI,0.42895603857068554,0.1299096745809994,1.104971732430944,14
3,SI,0.4696045174568606,0.2426378836776406,0.6543470017379748,12
4,SFI,0.5442637288047704,0.1020181788801909,0.9367324185065213,14
4,SI,0.4357497592555532,0.3476505877578917,0.4018383630505232,12
5,SFI,0.5235250353937558,0.2624072996135448,0.6571455497998504,14
5,SI,0.3710405065003457,0.21182730751494594,0.36805464701547785,12
6,SFI,0.3774892728499698,0.3317632234653553,0.3937343708182958,14
6,SI,0.38872109650987546,0.32072282212377035,0.3523342866487417,12
7,SFI,0.2938361011717751,0.30234090469858904,0.2375381019677022,14
7,SI,0.5220175773061403,0.3715423152924334,0.715286812399969,12
8,SFI,0.3525577338925432,0.30350835368478535,0.29858415717941705,14
8,SI,0.5327678178368837,0.4437309640896939,0.36458454723338396,12
9,SFI,0.26733374205092775,0.2363375166479985,0.21026551190904955,14
9,SI,0.4551039857040071,0.35275240995354146,0.27175932260290275,12
10,SFI,0.20672105931056423,0.13878583473038034,0.23306419739599346,14
10,SI,0.39260833384011623,0.3286006245803731,0.18179988547635317,12
11,SFI,0.533248924262199,0.09628008887427746,0.9873371396059485,14
11,SI,0.39900329203803103,0.2571790679034744,0.42505534843427795,12
12,SFI,0.5227968251215462,0.19218613242393906,0.9003330992937827,14
12,SI,0.2955524222387375,0.293716424725032,0.17815477667748728,12
13,SFI,0.4969887726554409,0.25963921589244915,0.72939754555411,14
13,SI,0.27059574567571365,0.2980905605345864,0.15919324341730257,12
14,SFI,0.3835080282742745,0.38005816690024585,0.46070115017987795,14
14,SI,0.27046944056528904,0.2611139200147818,0.13034384402798113,12
15,SFI,0.3699326186484955,0.10594992248095685,0.7182475934338851,14
15,SI,0.2850766856091977,0.2319068766879861,0.12425580740235553,12
16,SFI,0.3846906590374654,0.19546447821048923,0.6998643722508084,14
16,SI,0.33968288516910367,0.24383421952291365,0.46800220727147085,12
17,SFI,0.4612511361663307,0.11389519554758354,0.8184954793183916,14
17,SI,0.4606006055284811,0.20443541317195157,0.6669602511313325,12
18,SFI,0.17852179612415922,0.0038180518388865,0.3164786187923331,14
18,SI,0.2271446655808016,0.1549228365504219,0.22225174282510843,12
19,SFI,0.1910400880567967,0.03956166441410155,0.2773347595273557,14
19,SI,0.3020252592545068,0.14350734240417523,0.5121751244164607,12
20,SFI,0.525247584675475,0.1945585249890447,1.2093963188171508,14
20,SI,0.12729837135360797,0.0697345990722964,0.15754565428729767,12
21,SFI,0.3709559224748014,0.27193923965087213,0.2955091793600483,14
21,SI,0.3052325810199498,0.09892601382016405,0.5886660480142575,12
22,SFI,0.24592204976518137,0.2479459316957566,0.23712531952749685,14
22,SI,0.35550168312628583,0.05046328808203715,0.6791673217201346,12
23,SFI,0.34614450277057107,0.22043770192278175,0.5769927181776984,14
23,SI,0.505821699984092,0.0652877452333207,0.9655807340449064,12
24,SFI,0.35336472379083483,0.14654129897319712,0.7021123319069068,14
24,SI,0.13872315290991466,0.0402169515219888,0.20797757623981764,12
25,SFI,0.21338081767420108,0.1653228453478367,0.22636313078868414,14
25,SI,0.18866066731399533,0.050759456875188055,0.319867492038544,12
26,SFI,0.2881681265037809,0.3150325992756214,0.20302674660112346,14
26,SI,0.4223808496230139,0.08276851350652925,1.0800249449018424,12
27,SFI,0.48098978624074806,0.11568071673355851,0.8183838238067372,14
27,SI,0.5458565564828918,0.0880704278567625,1.0581684210479165,12
28,SFI,0.17777889666377994,0.14650219428391745,0.20484298950683935,14
28,SI,0.2356512696363404,0.15880582877607846,0.23009056534965078,12
29,SFI,0.2755443082338557,0.16185824946016641,0.3312687806923218,14
29,SI,0.5200637546007446,0.09718537409997115,0.9894769255457958,12
30,SFI,0.41286993875947037,0.248004988588725,0.5394507455265527,14
30,SI,0.47344985595031486,0.15155385227470225,0.9479755946595956,12
