round_number,institution_choice,n,zero_share,n_zeros,mean_prop
1,SFI,14,0.0,0,0.3682926710749516
1,SI,12,0.25,3,0.3268222275386915
2,SFI,14,0.35714285714285715,5,0.3984076707217291
2,SI,12,0.08333333333333333,1,0.3584116382163501
3,SFI,14,0.42857142857142855,6,0.42895603857068554
3,SI,12,0.3333333333333333,4,0.4696045174568606
4,SFI,14,0.2857142857142857,4,0.5442637288047704
4,SI,12,0.16666666666666666,2,0.43574975925555326
5,SFI,14,0.14285714285714285,2,0.5235250353937558
5,SI,12,0.16666666666666666,2,0.3710405065003457
6,SFI,14,0.07142857142857142,1,0.3774892728499698
6,SI,12,0.16666666666666666,2,0.38872109650987546
7,SFI,14,0.14285714285714285,2,0.29383610117177505
7,SI,12,0.25,3,0.5220175773061402
8,SFI,14,0.21428571428571427,3,0.35255773389254325
8,SI,12,0.08333333333333333,1,0.5327678178368837
9,SFI,14,0.07142857142857142,1,0.26733374205092775
9,SI,12,0.08333333333333333,1,0.4551039857040071
10,SFI,14,0.35714285714285715,5,0.20672105931056423
10,SI,12,0.0,0,0.3926083338401161
11,SFI,14,0.35714285714285715,5,0.533248924262199
11,SI,12,0.0,0,0.39900329203803103
12,SFI,14,0.21428571428571427,3,0.5227968251215461
12,SI,12,0.16666666666666666,2,0.2955524222387375
13,SFI,14,0.21428571428571427,3,0.49698877265544084
13,SI,12,0.16666666666666666,2,0.2705957456757137
14,SFI,14,0.14285714285714285,2,0.3835080282742745
14,SI,12,0.0,0,0.2704694405652891
15,SFI,14,0.2857142857142857,4,0.36993261864849547
15,SI,12,0.0,0,0.28507668560919763
16,SFI,14,0.21428571428571427,3,0.38469065903746535
16,SI,12,0.16666666666666666,2,0.33968288516910367
17,SFI,14,0.21428571428571427,3,0.4612511361663307
17,SI,12,0.08333333333333333,1,0.4606006055284811
18,SFI,14,0.5,7,0.17852179612415922
18,SI,12,0.08333333333333333,1,0.2271446655808016
19,SFI,14,0.35714285714285715,5,0.19104008805679668
19,SI,12,0.16666666666666666,2,0.3020252592545068
20,SFI,14,0.21428571428571427,3,0.5252475846754749
20,SI,12,0.16666666666666666,2,0.12729837135360797
21,SFI,14,0.0,0,0.3709559224748014
21,SI,12,0.08333333333333333,1,0.3052325810199498
22,SFI,14,0.2857142857142857,4,0.24592204976518145
22,SI,12,0.16666666666666666,2,0.35550168312628583
23,SFI,14,0.21428571428571427,3,0.34614450277057107
23,SI,12,0.0,0,0.505821699984092
24,SFI,14,0.2857142857142857,4,0.3533647237908349
24,SI,12,0.16666666666666666,2,0.1387231529099147
25,SFI,14,0.2857142857142857,4,0.21338081767420108
25,SI,12,0.0,0,0.18866066731399533
26,SFI,14,0.07142857142857142,1,0.28816812650378093
26,SI,12,0.08333333333333333,1,0.4223808496230139
27,SFI,14,0.2857142857142857,4,0.48098978624074806
27,SI,12,0.0,0,0.5458565564828919
28,SFI,14,0.21428571428571427,3,0.1777788966637799
28,SI,12,0.08333333333333333,1,0.2356512696363404
29,SFI,14,0.21428571428571427,3,0.2755443082338557
29,SI,12,0.16666666666666666,2,0.5200637546007446
30,SFI,14,0.07142857142857142,1,0.41286993875947037
30,SI,12,0.0,0,0.47344985595031486
