round,si_members,sfi_members,cooperation_rate,gini_wealth,ldf_pool,shock_occurred
1,12,14,0.2769,0.7124,11.3597,False
2,12,14,0.3846,0.72,11.3597,False
3,12,14,0.4212,0.7005,11.3597,False
4,12,14,0.7423,0.6831,11.3597,False
5,12,14,2.1058,0.662,11.3597,False
6,12,14,2.775,0.6402,709.1856,False
7,12,14,3.1058,0.6317,709.1856,False
8,12,14,5.7942,0.6255,709.1856,False
9,12,14,8.1635,0.6238,551.4445,True
10,12,14,4.5058,0.6241,551.4445,False
11,12,14,26.625,0.6184,34342.6248,False
12,12,14,97.9231,0.6107,34342.6248,False
13,12,14,216.0846,0.6071,34076.1831,True
14,12,14,171.8654,0.604,34076.1831,False
15,12,14,384.8038,0.6085,34076.1831,False
